#,question,a,b,c,d,correct_answer,category
ο»Ώ1,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ­ΞΊΟ†ΟΞ±ΟƒΞ·Ο‚ Ξ³Ξ½ΟΞΌΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο ΟΟƒΞΏΟ…Ο‚/ΞµΟ‚ ΞµΟ…ΟΞ―ΟƒΞΊΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ•Ξ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞµΟ€ΞΉΞΊΟΞ¬Ο„ΞµΞΉΞ±","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΊΞ±Ο„ΟΟ‡ΞΏΟ…Ο‚ Ο„Ξ·Ο‚ ΞΊΞΏΞΉΞ½Ξ®Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΉΞΈΞ±Ξ³Ξ­Ξ½ΞµΞΉΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
18,"Ξ¤ΞΉ ΞµΞ―Ξ½Ξ±ΞΉ ΞΌΞΉΞ± Β«ΞΊΞ»Ξ¬ΟƒΞ·Β» (class) ΟƒΟ„ΞΏΞ½ Ο€ΟΞΏΞ³ΟΞ±ΞΌΞΌΞ±Ο„ΞΉΟƒΞΌΟ;","ΞΞΉΞ± ΞΌΞµΟ„Ξ±Ξ²Ξ»Ξ·Ο„Ξ®","ΞΞΉΞ± ΟƒΟ…Ξ½Ξ¬ΟΟ„Ξ·ΟƒΞ·","ΞΞ½Ξ± Ο€ΟΟΟ„Ο…Ο€ΞΏ Ξ³ΞΉΞ± Ο„Ξ· Ξ΄Ξ·ΞΌΞΉΞΏΟ…ΟΞ³Ξ―Ξ± Ξ±Ξ½Ο„ΞΉΞΊΞµΞΉΞΌΞ­Ξ½Ο‰Ξ½","ΞΞ½Ξ± ΟƒΟ‡ΟΞ»ΞΉΞΏ ΟƒΟ„ΞΏΞ½ ΞΊΟΞ΄ΞΉΞΊΞ±",2,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
19,"Ξ¤ΞΉ ΞµΞ―Ξ½Ξ±ΞΉ Ο„ΞΏ debugging;","Ξ•Ξ½Ο„ΞΏΟ€ΞΉΟƒΞΌΟΟ‚ ΞΊΞ±ΞΉ Ξ΄ΞΉΟΟΞΈΟ‰ΟƒΞ· ΟƒΟ†Ξ±Ξ»ΞΌΞ¬Ο„Ο‰Ξ½","Ξ”Ξ·ΞΌΞΉΞΏΟ…ΟΞ³Ξ―Ξ± Ξ±Ξ½Ο„ΞΉΞ³ΟΞ¬Ο†Ο‰Ξ½ Ξ±ΟƒΟ†Ξ±Ξ»ΞµΞ―Ξ±Ο‚","Ξ•Ξ³ΞΊΞ±Ο„Ξ¬ΟƒΟ„Ξ±ΟƒΞ· ΞΊΞ±ΞΉ ΞµΟ€ΞΉΞΊΞ±ΞΉΟΞΏΟ€ΞΏΞ―Ξ·ΟƒΞ· Ο€ΟΞΏΞ³ΟΞ±ΞΌΞΌΞ¬Ο„Ο‰Ξ½","Ξ”ΞΉΞ±Ο‡ΞµΞ―ΟΞΉΟƒΞ· Ξ΄ΞΏΞΌΞ·ΞΌΞ­Ξ½Ο‰Ξ½ Ξ±ΟΟ‡ΞµΞ―Ο‰Ξ½",0,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
20,"Ξ ΞΏΞΉΞΏ Ξ±Ο€Ο Ο„Ξ± Ο€Ξ±ΟΞ±ΞΊΞ¬Ο„Ο‰ ΞµΞ―Ξ½Ξ±ΞΉ ΟƒΟΟƒΟ„Ξ·ΞΌΞ± ΞµΞ»Ξ­Ξ³Ο‡ΞΏΟ… ΞµΞΊΞ΄ΟΟƒΞµΟ‰Ξ½;","Windows Update","Git","Microsoft Office","Adobe Photoshop",1,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
21,"Ξ ΞΏΞΉΞΏ ΞµΞ―Ξ½Ξ±ΞΉ Ο„ΞΏ Ξ²Ξ±ΟƒΞΉΞΊΟ Ο‡Ξ±ΟΞ±ΞΊΟ„Ξ·ΟΞΉΟƒΟ„ΞΉΞΊΟ Ο„ΞΏΟ… Ξ±Ξ½Ο„ΞΉΞΊΞµΞΉΞΌΞµΞ½ΞΏΟƒΟ„ΟΞµΟ†ΞΏΟΟ‚ Ο€ΟΞΏΞ³ΟΞ±ΞΌΞΌΞ±Ο„ΞΉΟƒΞΌΞΏΟ;","Ξ•Ξ½ΞΈΟ…Ξ»Ξ¬ΞΊΟ‰ΟƒΞ·","Ξ Ξ±ΟΞ¬Ξ»Ξ»Ξ·Ξ»Ξ· ΞµΞΊΟ„Ξ­Ξ»ΞµΟƒΞ·","Ξ£ΞµΞΉΟΞΉΞ±ΞΊΞ® ΞµΟ€ΞµΞΎΞµΟΞ³Ξ±ΟƒΞ―Ξ±","Ξ£Ο„Ξ±Ο„ΞΉΞΊΞ® ΞΌΞ½Ξ®ΞΌΞ·",0,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
22,"Ξ ΞΏΞΉΞΏΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ ΞΏ ΞΊΟΟΞΉΞΏΟ‚ ΟƒΞΊΞΏΟ€ΟΟ‚ ΞµΞ½ΟΟ‚ Ξ£Ο…ΟƒΟ„Ξ®ΞΌΞ±Ο„ΞΏΟ‚ Ξ”ΞΉΞ±Ο‡ΞµΞ―ΟΞΉΟƒΞ·Ο‚ Ξ ΞµΞ»Ξ±Ο„ΟΞ½ (Customer Relationship Management - CRM);","Ξ”Ξ·ΞΌΞΉΞΏΟ…ΟΞ³Ξ―Ξ± ΞΊΞ±ΞΉ Ξ΄ΞΉΞ±Ο‡ΞµΞ―ΟΞΉΟƒΞ· ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΟΞ½ ΟƒΟ…Ξ½Ξ±Ξ»Ξ»Ξ±Ξ³ΟΞ½ ΟƒΞµ ΞΌΞΉΞ± ΞµΟ„Ξ±ΞΉΟΞµΞ―Ξ±","Ξ‘Ο€ΞΏΞΈΞ®ΞΊΞµΟ…ΟƒΞ· Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½ Ο€ΞµΞ»Ξ±Ο„ΟΞ½ Ο‡Ο‰ΟΞ―Ο‚ Ξ±Ξ½Ξ¬Ξ»Ο…ΟƒΞ· Ξ® Ο‡ΟΞ®ΟƒΞ· Ξ³ΞΉΞ± ΞµΟ€ΞΉΟ‡ΞµΞΉΟΞ·ΟƒΞΉΞ±ΞΊΞΏΟΟ‚ ΟƒΞΊΞΏΟ€ΞΏΟΟ‚","Ξ Ξ±ΟΞ±ΞΊΞΏΞ»ΞΏΟΞΈΞ·ΟƒΞ· ΞΊΞ±ΞΉ Ξ±Ξ½Ξ¬Ξ»Ο…ΟƒΞ· Ο„Ο‰Ξ½ Ξ±Ξ»Ξ»Ξ·Ξ»ΞµΟ€ΞΉΞ΄ΟΞ¬ΟƒΞµΟ‰Ξ½ ΞΌΞΉΞ±Ο‚ ΞµΟ€ΞΉΟ‡ΞµΞ―ΟΞ·ΟƒΞ·Ο‚ ΞΌΞµ Ο„ΞΏΟ…Ο‚ Ο€ΞµΞ»Ξ¬Ο„ΞµΟ‚ Ο„Ξ·Ο‚","ΞΞ»ΞµΞ³Ο‡ΞΏΟ‚ Ο†Ο…ΟƒΞΉΞΊΞ®Ο‚ Ο€ΟΟΟƒΞ²Ξ±ΟƒΞ·Ο‚ ΟƒΟ„ΞΉΟ‚ ΞµΞ³ΞΊΞ±Ο„Ξ±ΟƒΟ„Ξ¬ΟƒΞµΞΉΟ‚ ΞΌΞΉΞ±Ο‚ ΞµΟ„Ξ±ΞΉΟΞµΞ―Ξ±Ο‚ ΞΌΞ­ΟƒΟ‰ Ξ²ΞΉΞΏΞΌΞµΟ„ΟΞΉΞΊΟΞ½ ΟƒΟ„ΞΏΞΉΟ‡ΞµΞ―Ο‰Ξ½",2,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
23,"Ξ¤ΞΉ ΞµΞ―Ξ½Ξ±ΞΉ Ο„ΞΏ Ξ· Ξ½ΞµΟ†ΞΏΟ‹Ο€ΞΏΞ»ΞΏΞ³ΞΉΟƒΟ„ΞΉΞΊΞ® (cloud computing);","ΞΞ·Ο‡Ξ±Ξ½ΞΉΟƒΞΌΟΟ‚ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞµΞΎ Ξ±Ο€ΞΏΟƒΟ„Ξ¬ΟƒΞµΟ‰Ο‚ Ο‡ΟΞ®ΟƒΞ· Ο…Ο€ΞΏΞ»ΞΏΞ³ΞΉΟƒΟ„ΞΉΞΊΟΞ½ Ο€ΟΟΟ‰Ξ½","Ξ£ΟΟƒΟ„Ξ·ΞΌΞ± Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ±ΟƒΟ†Ξ±Ξ»Ξ® Ο„ΞΏΟ€ΞΉΞΊΞ® Ξ±Ο€ΞΏΞΈΞ®ΞΊΞµΟ…ΟƒΞ· Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½","ΞΞ·Ο‡Ξ±Ξ½ΞΉΟƒΞΌΟΟ‚ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞΊΞ±Ο„Ξ±Ξ½ΞµΞΌΞ·ΞΌΞ­Ξ½Ξ· Ξ΄ΞΉΞ±Ο‡ΞµΞ―ΟΞΉΟƒΞ· ΞµΞ³Ξ³ΟΞ¬Ο†Ο‰Ξ½","Ξ•ΟΞ³Ξ±Ξ»ΞµΞ―Ξ± Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞµΟ€ΞµΞΎΞµΟΞ³Ξ±ΟƒΞ―Ξ± Ο€ΞΏΞ»Ο…ΞΌΞµΟƒΞΉΞΊΟΞ½ Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½",0,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
24,"Ξ ΞΏΞΉΞΏ Ξ±Ο€Ο Ο„Ξ± Ξ±ΞΊΟΞ»ΞΏΟ…ΞΈΞ± ΞµΞ―Ξ½Ξ±ΞΉ ΞΈΞµΞΌΞµΞ»ΞΉΟΞ΄ΞµΟ‚ Ο‡Ξ±ΟΞ±ΞΊΟ„Ξ·ΟΞΉΟƒΟ„ΞΉΞΊΟ Ο„Ξ·Ο‚ Ο„ΞµΟ‡Ξ½ΞΏΞ»ΞΏΞ³Ξ―Ξ±Ο‚ blockchain;","ΞΞΉ ΟƒΟ…Ξ½Ξ±Ξ»Ξ»Ξ±Ξ³Ξ­Ο‚ Ξ±Ο€ΞΏΞΈΞ·ΞΊΞµΟΞΏΞ½Ο„Ξ±ΞΉ ΟƒΞµ ΞΌΞΉΞ± ΞΊΞµΞ½Ο„ΟΞΉΞΊΞ® Ξ²Ξ¬ΟƒΞ· Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½ Ο„Ξ·Ξ½ ΞΏΟ€ΞΏΞ―Ξ± Ξ΄ΞΉΞ±Ο‡ΞµΞΉΟΞ―Ξ¶ΞµΟ„Ξ±ΞΉ Ξ­Ξ½Ξ± Ξ±ΞΎΞΉΟΟ€ΞΉΟƒΟ„ΞΏ Ο„ΟΞ―Ο„ΞΏ ΞΌΞ­ΟΞΏΟ‚","ΞΞ¬ΞΈΞµ ΟƒΟ…ΞΌΞΌΞµΟ„Ξ­Ο‡Ο‰Ξ½ ΟƒΟ„ΞΏ Ξ΄Ξ―ΞΊΟ„Ο…ΞΏ Ξ­Ο‡ΞµΞΉ Ο€ΟΟΟƒΞ²Ξ±ΟƒΞ· ΟƒΟ„ΞΏ Ο€Ξ»Ξ®ΟΞµΟ‚ ΞΉΟƒΟ„ΞΏΟΞΉΞΊΟ Ο„Ο‰Ξ½ ΟƒΟ…Ξ½Ξ±Ξ»Ξ»Ξ±Ξ³ΟΞ½","Ξ¤Ξ± Ξ±ΟΟ‡ΞµΞ―Ξ± Ο„Ξ·Ο‚ Ξ±Ξ»Ο…ΟƒΞ―Ξ΄Ξ±Ο‚ ΞΌΟ€Ξ»ΞΏΞΊ (blockchain) ΞΌΟ€ΞΏΟΞΏΟΞ½ ΞµΟΞΊΞΏΞ»Ξ± Ξ½Ξ± Ο„ΟΞΏΟ€ΞΏΟ€ΞΏΞΉΞ·ΞΈΞΏΟΞ½ ΞΌΞµΟ„Ξ¬ Ο„Ξ·Ξ½ ΞµΟ€ΞΉΞ²ΞµΞ²Ξ±Ξ―Ο‰ΟƒΞ· ΞΌΞΉΞ±Ο‚ ΟƒΟ…Ξ½Ξ±Ξ»Ξ»Ξ±Ξ³Ξ®Ο‚","ΞΞΉ ΟƒΟ…Ξ½Ξ±Ξ»Ξ»Ξ±Ξ³Ξ­Ο‚ Ο€ΟΞ­Ο€ΞµΞΉ Ξ½Ξ± ΞµΞ³ΞΊΟΞΉΞΈΞΏΟΞ½ Ξ±Ο€Ο ΞΌΞ―Ξ± ΞΌΟΞ½ΞΏ Ξ±ΟΟ‡Ξ® Ο€ΟΞΉΞ½ Ο€ΟΞΏΟƒΟ„ΞµΞΈΞΏΟΞ½ ΟƒΟ„ΞΏ ΞΊΞ±Ο„Ξ±Ξ½ΞµΞΌΞ·ΞΌΞ­Ξ½ΞΏ ΞΊΞ±ΞΈΞΏΞ»ΞΉΞΊΟ (distributed ledger)",1,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
25,"Ξ ΞΏΞΉΞ± ΞµΞ―Ξ½Ξ±ΞΉ Ξ· Ξ²Ξ±ΟƒΞΉΞΊΞ® Ξ»ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„ΞΏΟ… JOIN;","Ξ£Ο…Ξ½Ξ­Ξ½Ο‰ΟƒΞ· Ο€ΞΉΞ½Ξ¬ΞΊΟ‰Ξ½","Ξ”ΞΉΞ±Ξ³ΟΞ±Ο†Ξ® Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½","Ξ•Ξ³ΞΊΞ±Ο„Ξ¬ΟƒΟ„Ξ±ΟƒΞ· Ο€ΟΞΏΞ³ΟΞ±ΞΌΞΌΞ¬Ο„Ο‰Ξ½","Ξ”Ξ·ΞΌΞΉΞΏΟ…ΟΞ³Ξ―Ξ± Ξ±Ξ½Ο„ΞΉΞ³ΟΞ¬Ο†Ο‰Ξ½ Ξ±ΟƒΟ†Ξ±Ξ»ΞµΞ―Ξ±Ο‚",0,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
26,"Ξ ΞΏΞΉΞ± Ξ±Ο€Ο Ο„ΞΉΟ‚ Ο€Ξ±ΟΞ±ΞΊΞ¬Ο„Ο‰ Ο€ΟΞΏΟ„Ξ¬ΟƒΞµΞΉΟ‚ Ο€ΞµΟΞΉΞ³ΟΞ¬Ο†ΞµΞΉ ΞΊΞ±Ξ»ΟΟ„ΞµΟΞ± Ο„Ξ± Β«ΟƒΟΞ½ΞΏΞ»Ξ± Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½ Ο…ΟΞ·Ξ»Ξ®Ο‚ Ξ±ΞΎΞ―Ξ±Ο‚Β» ΞΌΞµ Ξ²Ξ¬ΟƒΞ· Ο„ΞΉΟ‚ Ξ΄ΞΉΞ±Ο„Ξ¬ΞΎΞµΞΉΟ‚ Ο„ΞΏΟ… Ξ½ΟΞΌΞΏΟ… 4727/2020;","Ξ”ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± Ο€ΞΏΟ… Ξ΄ΞµΞ½ Ξ­Ο‡ΞΏΟ…Ξ½ ΞΊΞ±ΞΌΞ―Ξ± Ο‡ΟΞ·ΟƒΞΉΞΌΟΟ„Ξ·Ο„Ξ± Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞΊΞΏΞΉΞ½Ο‰Ξ½Ξ―Ξ± Ξ® Ο„Ξ·Ξ½ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞ―Ξ±","Ξ”ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± Ο€ΞΏΟ… Ο€ΟΞΏΞΏΟΞ―Ξ¶ΞΏΞ½Ο„Ξ±ΞΉ Ξ±Ο€ΞΏΞΊΞ»ΞµΞΉΟƒΟ„ΞΉΞΊΞ¬ Ξ³ΞΉΞ± ΞµΟƒΟ‰Ο„ΞµΟΞΉΞΊΞ® Ο‡ΟΞ®ΟƒΞ· Ξ±Ο€Ο Ξ΄Ξ·ΞΌΟΟƒΞΉΞµΟ‚ Ο…Ο€Ξ·ΟΞµΟƒΞ―ΞµΟ‚","Ξ”ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± Ο€ΞΏΟ… Ξ· Ο€ΞµΟΞ±ΞΉΟ„Ξ­ΟΟ‰ Ο‡ΟΞ®ΟƒΞ· Ο„ΞΏΟ…Ο‚ ΟƒΟ…Ξ½Ξ΄Ξ­ΞµΟ„Ξ±ΞΉ ΞΌΞµ ΟƒΞ·ΞΌΞ±Ξ½Ο„ΞΉΞΊΞ¬ ΞΏΟ†Ξ­Ξ»Ξ· Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞΊΞΏΞΉΞ½Ο‰Ξ½Ξ―Ξ±, Ο„ΞΏ Ο€ΞµΟΞΉΞ²Ξ¬Ξ»Ξ»ΞΏΞ½ ΞΊΞ±ΞΉ Ο„Ξ·Ξ½ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞ―Ξ±","Ξ”ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± Ο€ΞΏΟ… ΞµΞ―Ξ½Ξ±ΞΉ Ξ΄ΞΉΞ±ΞΈΞ­ΟƒΞΉΞΌΞ± ΞΌΟΞ½ΞΏ ΟƒΞµ ΟƒΟ…Ξ³ΞΊΞµΞΊΟΞΉΞΌΞ­Ξ½ΞµΟ‚ ΞµΟ€ΞΉΟ‡ΞµΞΉΟΞ®ΟƒΞµΞΉΟ‚ ΞΊΞ±ΞΉ ΞΏΟΞ³Ξ±Ξ½ΞΉΟƒΞΌΞΏΟΟ‚",2,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
27,"Ξ ΞΏΞΉΞΏΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ ΞΏ Ξ²Ξ±ΟƒΞΉΞΊΟΟ‚ ΟΟΞ»ΞΏΟ‚ ΞµΞ½ΟΟ‚ ETL (Extract, Transform, Load) ΟƒΟ…ΟƒΟ„Ξ®ΞΌΞ±Ο„ΞΏΟ‚ ΟƒΟ„Ξ· Ξ΄ΞΉΞ±Ο‡ΞµΞ―ΟΞΉΟƒΞ· Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½;","Ξ•ΞΊΟ„ΞµΞ»ΞµΞ― Ξ±Ξ½Ξ¬Ξ»Ο…ΟƒΞ· Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½ ΞΊΞ±ΞΉ Ξ΄Ξ·ΞΌΞΉΞΏΟ…ΟΞ³ΞµΞ― Ξ±Ξ½Ξ±Ο†ΞΏΟΞ­Ο‚","Ξ‘Ο€ΞΏΞΈΞ·ΞΊΞµΟΞµΞΉ Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± Ο€ΟΞΏΟƒΟ‰ΟΞΉΞ½Ξ¬ ΟƒΟ„Ξ· ΞΌΞ½Ξ®ΞΌΞ· RAM","ΞΞµΟ„Ξ±Ο†Ξ­ΟΞµΞΉ, ΞΌΞµΟ„Ξ±ΟƒΟ‡Ξ·ΞΌΞ±Ο„Ξ―Ξ¶ΞµΞΉ ΞΊΞ±ΞΉ Ο†ΞΏΟΟ„ΟΞ½ΞµΞΉ Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ξ± ΟƒΞµ Ξ±Ο€ΞΏΞΈΞ®ΞΊΞµΟ‚ Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½","Ξ”ΞΉΞ±Ο‡ΞµΞΉΟΞ―Ξ¶ΞµΟ„Ξ±ΞΉ Ο„Ξ·Ξ½ ΞΊΟΟ…Ο€Ο„ΞΏΞ³ΟΞ¬Ο†Ξ·ΟƒΞ· Ο„Ο‰Ξ½ Ξ΄ΞµΞ΄ΞΏΞΌΞ­Ξ½Ο‰Ξ½",2,"Ξ Ξ»Ξ·ΟΞΏΟ†ΞΏΟΞΉΞΊΞ® ΞΊΞ±ΞΉ Ξ¨Ξ·Ο†ΞΉΞ±ΞΊΞ® Ξ”ΞΉΞ±ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ·"
