#,question,a,b,c,d,correct_answer,category
8,Η Οικονομία της Αγοράς αναφέρεται:,Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται μέσω της αλληλεπίδρασης των νοικοκυριών και των επιχειρήσεων,Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται από την εκάστοτε κυβέρνηση,Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται από την πλειοψηφία της Βουλής κατά την ψήφιση του Κρατικού Προϋπολογισμού,Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται μέσω δημοψηφίσματος,0,Οικονομικές Επιστήμες
9,"Το πρόβλημα του τι θα παραχθεί  σε μία σχεδιαζόμενη οικονομία, βρίσκει τη λύση του κυρίως:",Μέσω ενεργειών των καταναλωτών,Μέσω της ανάγκης μεγιστοποίησης του ατομικού συμφέροντος,Μέσω των δυνάμεων της αγοράς,Μέσω κατευθύνσεων του κράτους,3,Οικονομικές Επιστήμες
10,"Η ατομική καμπύλη ζήτησης μετατοπίζεται προς τα δεξιά, λόγω:",Μείωσης του εισοδήματος του καταναλωτή,Μείωσης του αριθμού των καταναλωτών,Αύξησης της τιμής του υποκατάστατου αγαθού,Αύξησης της τιμής του συμπληρωματικού αγαθού,2,Οικονομικές Επιστήμες
11,Μία αύξηση στην τιμή ενός αγαθού με  ανελαστική ζήτηση θα έχει ως αποτέλεσμα η συνολική δαπάνη των καταναλωτών για το αγαθό αυτό:,Να αυξηθεί,Να μειωθεί,Να παραμείνει αμετάβλητη,Να μηδενιστεί,0,Οικονομικές Επιστήμες
12,"Εάν μία ποσοστιαία αύξηση στην τιμή ενός αγαθού μειώνει κατά ένα μεγαλύτερο ποσοστό τη ζητούμενη ποσότητά του, τότε η ζήτηση για το αγαθό αυτό είναι:",Ανελαστική ως προς την τιμή,Ελαστική ως προς το εισόδημα,Ελαστική ως προς την τιμή,Μοναδιαίας ελαστικότητας ως προς την τιμή,2,Οικονομικές Επιστήμες
13,"Με βάση το νόμο της προσφοράς, οι μεταβλητές «προσφερόμενη ποσότητα» και «τιμή»:",Είναι ανεξάρτητες η μια της άλλης,Έχουν αρνητική σχέση,Έχουν  θετική σχέση,Η προκύπτουσα καμπύλη έχει αρνητική κλίση,2,Οικονομικές Επιστήμες
14,Η ελαστικότητα της προσφοράς εξαρτάται από:,Τους παράγοντες εκείνους που προσδιορίζουν την ικανότητα του παραγωγού να αυξομειώνει την προσφερόμενη ποσότητα σε αυξομειώσεις της τιμής,Τη ζήτηση του προϊόντος,Το εισόδημα των νοικοκυριών,Το εισόδημα του παραγωγού,0,Οικονομικές Επιστήμες
15,Ποιο από τα πιο κάτω προκαλεί την μετατόπιση της καμπύλης προσφοράς στην αγορά αυτοκινήτων προς τα δεξιά;,Η βελτίωση της τεχνολογίας η οποία μειώνει το κόστος παραγωγής,Η αύξηση των μισθών των εργαζομένων στην αυτοκινητοβιομηχανία,Η αύξηση του φόρου στα αυτοκίνητα,Η μείωση του αριθμού των παραγωγών αυτοκινήτων,0,Οικονομικές Επιστήμες
16,"Μια μετατόπιση της καμπύλης ζήτησης για υποδήματα προς τα αριστερά, μπορεί να οφείλεται:",Στη χρησιμοποίηση νέων πιο βελτιωμένων μηχανημάτων στην παραγωγή υποδημάτων,Στη μείωση του εισοδήματος των καταναλωτών,Στη μείωση του κόστους παραγωγής υποδημάτων,Στην αυξημένη ένταση της επιθυμίας των καταναλωτών για αγορά υποδημάτων,1,Οικονομικές Επιστήμες
17,Τι προκαλεί μετατόπιση της καμπύλης ζήτησης προς τα δεξιά;,Αύξηση του εισοδήματος των καταναλωτών,Αύξηση της τιμής ενός συμπληρωματικού αγαθού,Αύξηση του πληθυσμού,Μείωση της τιμής του αγαθού,0,Οικονομικές Επιστήμες
18,Ποια από τις παρακάτω προτάσεις είναι ορθή:,Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται αναλογικά με το ονομαστικό ΑΕΠ,Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται όταν αυξάνεται το επίπεδο των τιμών,"Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται όταν αυξάνεται  η ποιότητα, η ποσότητα των παραγόμενων αγαθών καθώς και το επίπεδο των τιμών",Καμία από τις λοιπές προτάσεις δεν είναι ορθή,3,Οικονομικές Επιστήμες
19,"Εάν σε μια οικονομία το ονομαστικό Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ) αυξήθηκε κατά 10% και ο Aποπληθωριστής του ΑΕΠ αυξήθηκε κατά 20%, το πραγματικό ΑΕΠ για εκείνο το έτος:",Αυξήθηκε,Παρέμεινε σταθερό,Δεν επαρκούν τα δεδομένα για υπολογιστεί,Μειώθηκε,3,Οικονομικές Επιστήμες
20,"Υποθέστε ότι το ΑΕΠ αποτελείται από μακαρόνια και γάλα. Το 2024 πωλήθηκαν 100 πακέτα μακαρόνια προς 1,50€ ανά πακέτο και 150 κουτιά γάλα προς 1€ ανά κουτί. Μπορούμε να συμπεράνουμε ότι, για το 2024, το ονομαστικό ΑΕΠ είναι:",200€,300€,"246,67€",600€,1,Οικονομικές Επιστήμες
21,"Αν σε μια υποθετική οικονομία, από το ένα έτος στο άλλο, όλες οι τιμές διπλασιαστούν χωρίς καμία μεταβολή στις ποσότητες, τότε:",Η ικανότητα της οικονομίας για ικανοποίηση των αναγκών σε αγαθά και υπηρεσίες θα διπλασιαστεί,Το πραγματικό ΑΕΠ της οικονομίας θα διπλασιαστεί,Το ονομαστικό ΑΕΠ της οικονομίας θα διπλασιαστεί,Δεν θα υπάρξει καμία μεταβολή,2,Οικονομικές Επιστήμες
22,Ένας αγρότης παράγει σιτάρι και το πωλεί σε έναν μυλωνά για 1€. Ο μυλωνάς μετατρέπει το σιτάρι σε αλεύρι και το πωλεί σε έναν αρτοποιό για 3€. Ο αρτοποιός χρησιμοποιεί το αλεύρι για να κάνει ψωμί και πωλεί το ψωμί για 6€. Η αξία που προστίθεται από τον μυλωνά είναι:,1€,2€,3€,6€,1,Οικονομικές Επιστήμες
23,Οι τρεις τρόποι μέτρησης του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ) είναι,"Το ΑΕΠ ως δαπάνη, το ΑΕΠ ως εισόδημα, το ΑΕΠ ως προστιθέμενη αξία","Το ΑΕΠ ως δαπάνη, το ΑΕΠ ως εισόδημα, το ΑΕΠ ως εθνικό προϊόν","Το ΑΕΠ ως πραγματικό, το ΑΕΠ ως δυνητικό, το ΑΕΠ ως ιδιωτικό",Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,0,Οικονομικές Επιστήμες
24,Ο αποπληθωριστής του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ) είναι:,Η σχέση των τιμών μεταξύ του τρέχοντος έτους και του έτους βάσης,Ο λόγος του πραγματικού προς το ονομαστικό ΑΕΠ,Ο δείκτης που μετρά την αποτελεσματικότητα της δημοσιονομικής πολιτικής,Ο δείκτης που μετρά την αποτελεσματικότητα της νομισματικής πολιτικής,0,Οικονομικές Επιστήμες
25,"Υποθέτοντας ότι ένα αρτοποιείο προσλαμβάνει περισσότερους εργαζομένους και καταβάλλει τους μισθούς τους καθώς και ότι οι εργαζόμενοι παράγουν περισσότερο ψωμί, το ΑΕΠ αυξάνεται σε όλες τις παρακάτω περιπτώσεις εκτός από όταν το ψωμί:",Πωλείται σε νοικοκυριά,Αποθηκεύεται για μεταγενέστερη πώληση,Μένει αχρησιμοποίητο και πετιέται,Πωλείται σε άλλες επιχειρήσεις,2,Οικονομικές Επιστήμες
26,Η αύξηση του πραγματικού ΑΕΠ ονομάζεται:,Οικονομική μεγέθυνση,Πλήρης απασχόληση,Εισόδημα ισορροπίας,Ενεργός ζήτηση,0,Οικονομικές Επιστήμες
27,Ποια είναι η διαφορά ανάμεσα σε μια ακαθάριστη επένδυση και μια καθαρή επένδυση;,Καθαρή επένδυση = ακαθάριστη επένδυση μείον φόρους.,Καθαρή επένδυση = ακαθάριστη επένδυση μείον καθαρές αμοιβές των συντελεστών παραγωγής.,Καθαρή επένδυση = ακαθάριστη επένδυση μείον συσσώρευση αποθέματος.,Καθαρή επένδυση = ακαθάριστη επένδυση μείον απόσβεση,3,Οικονομικές Επιστήμες
28,Όταν λέμε αύξηση των καθαρών επενδύσεων της οικονομίας εννοούμε:,Αύξηση του κεφαλαιουχικού εξοπλισμού της οικονομίας,Αύξηση των αποταμιεύσεων της οικονομίας,Αύξηση του συνολικού αριθμού των μετοχών στο Χρηματιστήριο,Αύξηση των ωρών λειτουργίας του κεφαλαίου σε ετήσια βάση,0,Οικονομικές Επιστήμες
29,"Ο αριθμός των ατόμων εργάσιμης ηλικίας που εντάσσονται στο μη εργατικό δυναμικό, σύμφωνα με την Ελληνική Στατιστική Αρχή, είναι ίσος με τον αριθμό:",Των ατόμων που δεν εργάζονται,Των ατόμων που δεν εργάζονται συν τον αριθμό των απασχολουμένων κάτω από πέντε ώρες την εβδομάδα,Των ατόμων που έχουν συνταξιοδοτηθεί ή σπουδάζουν,Των ατόμων που δεν εργάζονται ούτε αναζητούν εργασία,3,Οικονομικές Επιστήμες
30,Ως Φυσικό Ποσοστό Ανεργίας ορίζεται:,Η ανεργία τριβής,Το άθροισμα της ανεργίας τριβής και της διαρθρωτικής ανεργίας,Η διαρθρωτική ανεργία,"Το άθροισμα της ανεργίας τριβής, της διαρθρωτικής και της κυκλικής ανεργίας",1,Οικονομικές Επιστήμες
31,Ως Κυκλική Ανεργία αναφέρεται:,Η κυκλική αυξομείωση του αριθμού των εγγεγραμμένων ανέργων,Η ανεργία που εμφανίζεται κατά τη διάρκεια καθόδου του οικονομικού κύκλου,Η ανεργία που αποκλίνει από το σημείο που αντιστοιχεί στην πλήρη απασχόληση,Η αύξηση της Ανεργίας Τριβής,1,Οικονομικές Επιστήμες
32,Ο Γ. που είναι 55 ετών είναι ανειδίκευτος εργάτης σε εργοστάσιο κατασκευής χαλκού. Η επιχείρηση που εργαζόταν έκλεισε και μετακόμισε σε γειτονική χώρα με πιο ευνοϊκό φορολογικό καθεστώς. Ο Γ. είναι τυπικό παράδειγμα:,Κυκλικής ανεργίας,Μακροχρόνιας ανεργίας,Διαρθρωτικής ανεργίας,Ανεργίας τριβής,2,Οικονομικές Επιστήμες
33,Η Έρευνα Εργατικού Δυναμικού που διεξάγεται από την ΕΛΣΤΑΤ (Ελληνική Στατιστική Αρχή):,Είναι δειγματοληπτική και καλύπτει το σύνολο της χώρας,Είναι απογραφική  και καλύπτει το σύνολο της χώρας,Είναι απογραφική και διεξάγεται στις τρεις μεγάλες περιφέρειες της χώρας,Είναι δειγματοληπτική αλλά ανά πενταετία απογραφική,0,Οικονομικές Επιστήμες
34,Ο ρυθμός πληθωρισμού προσδιορίζεται από:,Την ποσοστιαία μεταβολή του δείκτη τιμών καταναλωτή από την προηγούμενη περίοδο,Την ποσοστιαία μεταβολή των τιμών των ειδών διατροφής από την προηγούμενη περίοδο,Την ποσοστιαία μεταβολή των τιμών των εισαγομένων προϊόντων από την προηγούμενη περίοδο,Την ποσοστιαία μεταβολή του δείκτη τιμών καταναλωτή από την προηγούμενη περίοδο σε σχέση με τη μεταβολή μισθών και ημερομισθίων,0,Οικονομικές Επιστήμες
35,Σε ποια από τις παρακάτω περιπτώσεις μπορεί να προκληθεί πληθωρισμός κόστους;,Από την αύξηση της παραγωγικότητας της εργασίας,Από την αύξηση της τιμής του φυσικού αερίου,Από μείωση της φορολογίας,Από την αύξηση της ποσότητας χρήματος,1,Οικονομικές Επιστήμες
36,Ο πληθωρισμός κόστους:,Μπορεί να συνυπάρχει με την ανεργία,Δεν μπορεί να συνυπάρχει με την ανεργία,Μπορεί να συνυπάρχει μόνον στην περίπτωση ανεργίας άνω του 15%,Μπορεί να συνυπάρχει μόνον στην περίπτωση ανεργίας των νέων,0,Οικονομικές Επιστήμες
37,Ποιο από τα παρακάτω μπορεί να προκαλέσει πληθωρισμό;,Η αύξηση της ζήτησης για αγαθά και υπηρεσίες,Η μείωση της προσφοράς χρήματος,Η μείωση των κρατικών δαπανών,Η μείωση των εξαγωγών,0,Οικονομικές Επιστήμες
38,Ποιος είναι ο κύριος δείκτης μέτρησης του πληθωρισμού;,Το Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ),Ο Δείκτης Τιμών Καταναλωτή (ΔΤΚ),Το ποσοστό ανεργίας,Η συναλλαγματική ισοτιμία,1,Οικονομικές Επιστήμες
39,Σύμφωνα με τα στοιχεία της ΕΛΣΤΑΤ το ποσοστό των ατόμων που διαβιούν σε νοικοκυριά κάτω από το όριο της φτώχειας βρίσκεται κατά προσέγγιση στο επίπεδο του:,25%,20 %,10%,15%,1,Οικονομικές Επιστήμες
40,Οι εργαζόμενοι/ες που κάνουν επικίνδυνες εργασίες είναι τυπικά άτομα που:,Δεν μπορούν να βρουν δουλειά με καλύτερες συνθήκες,Πληρώνονται καλά σε σχέση με τις εναλλακτικές ευκαιρίες απασχόλησης,Πληρώνονται λίγο,Απολαμβάνουν τον κίνδυνο,1,Οικονομικές Επιστήμες
41,Ποιο από τα παρακάτω μέτρα ανήκει στην κατηγορία της νομισματικής πολιτικής;,Αύξηση του κατώτατου ημερομισθίου,Αύξηση των δαπανών για δημόσια έργα,Ονομαστική αύξηση συντάξεων,Κανένα από τα λοιπά μέτρα,3,Οικονομικές Επιστήμες
42,Η Ευρωπαϊκή Κεντρική Τράπεζα προβαίνει σε μείωση της προσφοράς χρήματος. Τότε:,Χρησιμοποιεί την νομισματική πολιτική για να μειώσει την συνολική ζήτηση,Χρησιμοποιεί την δημοσιονομική πολιτική για να μειώσει την συνολική ζήτηση,Χρησιμοποιεί την νομισματική πολιτική για να αυξήσει την συνολική ζήτηση,Οι μεταβολές στην προσφορά χρήματος δεν επηρεάζουν τη συνολική ζήτηση,0,Οικονομικές Επιστήμες
43,"Σε ποια από τις παρακάτω περιπτώσεις θεωρείτε ότι η αύξηση του ποσοστού των τραπεζικών διαθεσίμων, θα μπορούσε να αποτελέσει αποτελεσματικό μέτρο;",Για την αντιμετώπιση του πληθωρισμού ζήτησης,Για την αντιμετώπιση του στασιμοπληθωρισμού,Για την αντιμετώπιση της ύφεσης,Για την αντιμετώπιση της ακρίβειας,0,Οικονομικές Επιστήμες
44,Σε τι αναφέρεται η καμπύλη Philips;,Στη σχέση ανάμεσα στο πραγματικό και το ονομαστικό ΑΕΠ,Στην βραχυχρόνια αντίστροφη σχέση μεταξύ πληθωρισμού και ανεργίας,Στην αντίστροφη σχέση μεταξύ των φορολογικών συντελεστών και φορολογικών εσόδων,Στη σχέση άμεσων και έμμεσων φόρων,1,Οικονομικές Επιστήμες
45,Ποιο από το παρακάτω μέτρα θεωρείτε ότι εντάσσεται σε ενδεδειγμένη πολιτική για την αντιμετώπιση του πληθωρισμού κόστους;,Η αύξηση των έμμεσων φόρων στον καπνό,Η μείωση του ΦΠΑ στα υλικά οικοδομής,Η ισόποση αύξηση φόρων στα καύσιμα,Η δραστική αναλογική μείωση των συντάξεων,1,Οικονομικές Επιστήμες
46,Για την καταπολέμηση του πληθωρισμού κόστους ενδείκνυνται μέτρα τα οποία επηρεάζουν κυρίως:,Την πλευρά της ζήτησης της οικονομίας,Την πλευρά της προσφοράς,Τα έσοδα από τους άμεσους φόρους,Τα έσοδα από τους έμμεσους φόρους,1,Οικονομικές Επιστήμες
47,Η βιώσιμη ανάπτυξη:,Αφορά στη διαχρονική αύξηση του πραγματικού ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν),Αφορά στην ποιοτική αναβάθμιση του εκπαιδευτικού συστήματος,"Αφορά στην κάλυψη των αναγκών του παρόντος, λαμβάνοντας υπ’ όψη τις ανάγκες των μελλοντικών γενεών",Αφορά στην ποιοτική αναβάθμιση των συστημάτων υγείας και την αύξηση του προσδόκιμου ζωής,2,Οικονομικές Επιστήμες
48,Ποιο από τα παρακάτω μέτρα θεωρείτε ότι αποτελεί υποστηρικτικό μέτρο βιώσιμης ανάπτυξης;,Η μείωση του κόστους ζωής που προέρχεται από επιδότηση μονάδας παραγωγής ενέργειας με λιγνίτη,Η επιδότηση φωτοβολταϊκών συστημάτων παροχής ενέργειας,Η επιδότηση μονάδων παροχής ενέργειας φυσικού αερίου,Η επιδότηση γεωτρήσεων για την εξόρυξη αργού πετρελαίου,1,Οικονομικές Επιστήμες
49,Οι τρείς Πυλώνες της Βιώσιμης Ανάπτυξης είναι:,Περιβάλλον-Οικονομία-Ισότητα,Οικονομία-Ισότητα-Κοινωνία,Περιβάλλον-Οικονομία-Κοινωνία,Οικονομία-Περιβάλλον-Ισότητα,2,Οικονομικές Επιστήμες
50,Το δημόσιο χρέος στις περισσότερες αναλύσεις και τις οικονομικές εκθέσεις καταγράφεται ως ποσοστό:,Του συνόλου των δαπανών του δημοσίου,Του συνόλου των εσόδων του δημοσίου,Του συνόλου του κρατικού προϋπολογισμού,Του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ),3,Οικονομικές Επιστήμες
51,Ο ετήσιος Κρατικός Προϋπολογισμός διακρίνεται σε:,Προϋπολογισμό υπουργείων και προϋπολογισμό οργανισμών τοπικής αυτοδιοίκησης,Τακτικό προϋπολογισμό και προϋπολογισμό δημοσίων επενδύσεων,Τακτικό προϋπολογισμό και έκτακτο προϋπολογισμό,Τακτικό προϋπολογισμό και απολογισμό,1,Οικονομικές Επιστήμες
52,"Εάν υποθέσουμε ότι σε μια χώρα ο συντελεστής εισφορών παραμένει διαχρονικά σταθερός, ενώ ο πληθυσμός και οι μισθοί αυξάνονται με σταθερό ρυθμό, τότε οι παροχές ενός μη κεφαλαιοποιητικού συστήματος κοινωνικής ασφάλισης γίνονται σχετικά πιο συμφέρουσες:",Για τις παλαιότερες γενιές (εκτός της πρώτης),Για τις νεότερες γενιές (εκτός της τελευταίας),Και για τις παλαιότερες και για τις νεότερες γενιές (εκτός της τελευταίας),"Ούτε για τις παλαιότερες, ούτε για τις νεότερες γενιές (εκτός της πρώτης και της τελευταίας",2,Οικονομικές Επιστήμες
53,Σύμφωνα με την αρχή της κάθετης φορολογικής ισότητας:,"Άτομα που είναι παρόμοια μεταξύ τους, αλλά κάνουν διαφορετικές επιλογές στα οικονομικά ή στον τρόπο ζωής τους, θα πρέπει να αντιμετωπίζονται με τον ίδιο τρόπο από το φορολογικό σύστημα","Άτομα που είναι παρόμοια μεταξύ τους, αλλά κάνουν τις ίδιες επιλογές στα οικονομικά ή στον τρόπο ζωής τους, θα πρέπει να αντιμετωπίζονται με τον ίδιο τρόπο από το φορολογικό σύστημα",Άτομα με περισσότερους πόρους θα πρέπει να πληρώνουν υψηλότερους φόρους σε σχέση με άτομα με λιγότερους πόρους,Άτομα με περισσότερους πόρους θα πρέπει να πληρώνουν τους ίδιους φόρους με άτομα με λιγότερους πόρους,2,Οικονομικές Επιστήμες
54,Ποια από τις παρακάτω ΔΕΝ αποτελεί λειτουργία του δημόσιου προϋπολογισμού:,Η ανάπτυξη της οικονομίας,Η αύξηση της προσφοράς χρήματος,Η σταθεροποίηση της οικονομίας,Η αναδιανομή του εισοδήματος,1,Οικονομικές Επιστήμες
55,Ο στόχος της ιδιωτικοποίησης δημοσίων επιχειρήσεων είναι:,Η μείωση της φορολογίας,Η μείωση του μεγέθους του ευρύτερου δημόσιου τομέα,Η εξασθένηση της δύναμης των εργατικών οργανώσεων,Όλες οι λοιπές προτάσεις που παρατίθενται είναι σωστές,3,Οικονομικές Επιστήμες
56,Ο Φόρος Προστιθέμενης Αξίας είναι:,Φόρος κατανάλωσης,Έμμεσος και απρόσωπος φόρος,Φόρος που επιβάλλεται από την κεντρική διοίκηση,Όλες οι λοιπές προτάσεις που παρατίθενται είναι σωστές,3,Οικονομικές Επιστήμες
57,Ποιο από τα παρακάτω ΔΕΝ είναι ορθό;,Οι άμεσοι φόροι επιβάλλονται επί της τιμής των αγαθών,Ο Ειδικός φόρος κατανάλωσης εντάσσεται στην κατηγορία των έμμεσων φόρων,Ο Φόρος Προστιθέμενης Αξίας εντάσσεται στους απρόσωπους φόρους,Ο Φόρος Περιουσίας αξίας είναι άμεσος φόρος,0,Οικονομικές Επιστήμες
58,Σύμφωνα με την αρχή της «οριζόντιας φορολογικής ισότητας»:,Τα πιο εύπορα άτομα πρέπει να φορολογούνται περισσότερο από τα λιγότερο εύπορα άτομα,Άτομα που έχουν ίδια φοροδοτική ικανότητα πρέπει να φορολογούνται το ίδιο,Άτομα που έχουν ίδιο εκπαιδευτικό επίπεδο πρέπει να φορολογούνται το ίδιο,Όλες οι λοιπές προτάσεις είναι σωστές,1,Οικονομικές Επιστήμες
59,Ο Φόρος Προστιθέμενης Αξίας είναι:,Προσωπικός φόρος,Έμμεσος φόρος,Φόρος κατά μονάδα προϊόντος,Όλες οι λοιπές προτάσεις είναι σωστές,1,Οικονομικές Επιστήμες
60,Ποιος από τους παρακάτω φόρους ΔΕΝ είναι έμμεσος φόρος;,Ένας ειδικός φόρος στα τσιγάρα,Ένας φόρος επί των πωλήσεων αυτοκινήτων,Ένας φόρος στην εστίαση,Ο φόρος κληρονομιάς,3,Οικονομικές Επιστήμες
61,"Όταν ένας φόρος είναι αντίστροφα προοδευτικός με θετικό οριακό φορολογικό συντελεστή, τότε όταν αυξάνεται το εισόδημα:","Ο συνολικός φόρος μειώνεται, ο μέσος φορολογικός συντελεστής μειώνεται, ο οριακός φορολογικός συντελεστής μειώνεται","Ο συνολικός φόρος αυξάνεται, ο μέσος φορολογικός συντελεστής μειώνεται, ο οριακός φορολογικός συντελεστής αυξάνεται","Ο συνολικός φόρος μειώνεται, ο μέσος φορολογικός συντελεστής μειώνεται, ο οριακός φορολογικός συντελεστής αυξάνεται","Ο συνολικός φόρος αυξάνεται, ο μέσος φορολογικός συντελεστής μειώνεται, ο οριακός φορολογικός συντελεστής μειώνεται",3,Οικονομικές Επιστήμες
62,Τι από τα παρακάτω θεωρείται φοροαποφυγή:,Η μη έκδοση φορολογικής απόδειξης.,Η αδήλωτη εργασία.,Η μεταφορά της φορολογικής έδρας στο Λουξεμβούργο,Όλες οι λοιπές προτάσεις είναι σωστές,2,Οικονομικές Επιστήμες
63,Όταν ο προϋπολογισμός εμφανίζει έλλειμμα και το κράτος πληρώνει τόκους για δάνεια που έχει λάβει τότε:,Το πρωτογενές έλλειμμα είναι μεγαλύτερο του ελλείματος του προϋπολογισμού,Το πρωτογενές έλλειμμα είναι ίσο του ελλείματος του προϋπολογισμού,Το πρωτογενές έλλειμμα είναι μικρότερο του ελλείματος του προϋπολογισμού,Υπάρχουν και άλλοι παράγοντες που επηρεάζουν το πρωτογενές έλλειμμα οπότε δεν μπορούμε να απαντήσουμε,2,Οικονομικές Επιστήμες
64,Ποιο από τα παρακάτω ΔΕΝ αποτελεί μέσο δράσης του κράτους;,Η αύξηση του βασικού επιτοκίου της μη ανεξάρτητης Κεντρικής Τράπεζας,Η αύξηση της τιμής του αργού πετρελαίου,Επιβολή ανώτατων τιμών στα προϊόντα που πουλάνε οι καντίνες των πλοίων,Ο φόρος κατανάλωσης στα προϊόντα καπνού,1,Οικονομικές Επιστήμες
65,Ποιος επωμίζεται το κόστος των ασφαλιστικών παροχών;,"Οι εργαζόμενοι/ες, οι εργοδότες/τριες και το κοινωνικό σύνολο",Οι εργοδότες/τριες και το κοινωνικό σύνολο,Οι εργαζόμενοι/ες,Οι εργαζόμενοι/ες και οι εργοδότες/τριες,0,Οικονομικές Επιστήμες
66,Το αγαθό “υγειονομική ασφάλιση και περίθαλψη” παρέχεται κυρίως από τον δημόσιο τομέα:,Επειδή είναι αξιόλογο αγαθό,Επειδή είναι υπηρεσία χαμηλής τιμής κατανάλωσης,"Επειδή, λόγω του υψηλού κόστους παροχής της, καμία ιδιωτική ασφαλιστική εταιρεία δεν μπορεί να το παρέχει",Καμία από τις λοιπές προτάσεις δεν είναι σωστή,0,Οικονομικές Επιστήμες
67,"Η απόλυτη μη ανταγωνιστικότητα στην κατανάλωση ενός αγαθού, από τη χρήση του οποίου δεν είναι δυνατόν να αποκλεισθεί κανείς, καθιστά το αγαθό αυτό:",Ιδιωτικό,Μη-αμιγώς δημόσιο,Μη-αμιγώς δημόσιο εφόσον υπάρχει δημόσια παροχή του,Αμιγώς δημόσιο,3,Οικονομικές Επιστήμες
68,Ποια από τις παρακάτω είναι η βασική λειτουργία των φόρων σε μια οικονομία;,Να αυξήσουν την ανισότητα στα εισοδήματα,Να χρηματοδοτήσουν δημόσια αγαθά και υπηρεσίες,Να μειώσουν την κατανάλωση αγαθών και υπηρεσιών,Να αυξήσουν τις αποταμιεύσεις των πολιτών Ενότητα: Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού,1,Οικονομικές Επιστήμες
1,Σκοπός της αξιολόγησης των δημόσιων πολιτικών είναι να:,Προσδιοριστεί το περιεχόμενο που θα έχει η τελική απόφαση για την αντιμετώπιση ενός δημόσιου προβλήματος,Εκτιμηθεί σε ποιον βαθμό με την εφαρμοσθείσα δημόσια πολιτική επήλθαν τα προσδοκώμενα αποτελέσματα,"Διαπιστωθεί η καταλληλότητα της χρονικής συγκυρίας, ώστε να ληφθούν αποφάσεις",Καθοριστεί ποιοι θα επιφορτιστούν με την εκτέλεση των αποφάσεων και την υλοποίηση της πολιτικής,1,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
2,Η στοχοθεσία εντάσσεται στα καθήκοντα ενός διοικητικού στελέχους για:,Προγραμματισμό,Οργάνωση,Παρακίνηση,Συντονισμό,0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
3,Η διαδικασία της οργάνωσης είναι μια διοικητική λειτουργία που αποσκοπεί:,Στην ανάλυση του περιβάλλοντος,Στην πρόβλεψη,Στην οριοθέτηση των ρόλων και των καθηκόντων των εργαζομένων,Στην παρακίνηση των εργαζομένων,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
4,"Οι σύγχρονες απόψεις στη θεωρία των οργανώσεων για την αποτελεσματικότερη λειτουργία μιας οργάνωσης, προϋποθέτουν:",Συγκεντρωτισμό των αρμοδιοτήτων,Περιορισμό των ευθυνών των αρμοδίων προσώπων,Αναφορά κάθε εργαζόμενου/ης σε έναν/μία Προϊστάμενο/η ή συντονιστή/τρια,Εξατομικευμένη εργασία κάθε εργαζομένου/ης βάσει των προσόντων του/ης,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
5,Σημειώστε ποιο από τα παρακάτω ΔΕΝ αποτελεί χαρακτηριστικό του ποιοτικού στυλ διοίκησης:,Η διά βίου επιμόρφωση των εργαζομένων,Το συμμετοχικό στυλ διοίκησης,Οι κύκλοι ποιότητας,Η ατομική λήψη των αποφάσεων,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
6,Στη λήψη στρατηγικών αποφάσεων ένα διοικητικό στέλεχος λαμβάνει υπόψη:,Το εσωτερικό περιβάλλον του οργανισμού,Το εξωτερικό περιβάλλον του οργανισμού,Και τα δύο είδη περιβάλλοντος,Κινείται και αποφασίζει με βάση τις προσωπικές του γνώσεις και εμπειρίες,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
7,Τι από τα παρακάτω αποτελεί πρόκληση για ένα σύγχρονο διοικητικό στέλεχος:,Η διαχείριση της αλλαγής,Η διαχείριση της μάθησης,Η διαχείριση της επικοινωνίας,Όλες οι λοιπές απαντήσεις,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
