#,question,a,b,c,d,correct_answer,category
15,Σύμφωνα με τον Νόμο της Προσφοράς:,"Όταν αυξάνεται η τιμή ενός αγαθού η προσφερόμενη ποσότητα αυξάνεται, υπό την προϋπόθεση ότι υπάρχει ταυτόχρονη μεταβολή και των λοιπών παραγόντων που επηρεάζουν την προσφορά",Όταν αυξάνεται η τιμή ενός αγαθού η προσφερόμενη ποσότητα μειώνεται υπό την προϋπόθεση ότι υπάρχει ταυτόχρονη μεταβολή του εισοδήματος των καταναλωτών,"Όταν αυξάνεται η τιμή ενός αγαθού η προσφερόμενη ποσότητα αυξάνεται, υπό την προϋπόθεση ότι οι λοιποί παράγοντες που επηρεάζουν την προσφορά παραμένουν σταθεροί",Όταν αυξάνεται η τιμή ενός αγαθού με ταυτόχρονη αύξηση του εισοδήματος του καταναλωτή η προσφερόμενη ποσότητα παραμένει σταθερή,2,Οικονομικές Επιστήμες
16,"Όταν η καμπύλη προσφοράς ενός αγαθού είναι πλήρως ανελαστική και η ζήτηση για το αγαθό αυτό μειώνεται, τι θα συμβεί στην τιμή του αγαθού αυτού;;",Η τιμή του αγαθού θα αυξηθεί,Η τιμή του αγαθού θα μειωθεί,Η τιμή του αγαθού θα παραμείνει σταθερή,Δεν υπάρχουν επαρκείς πληροφορίες για να δοθεί απάντηση,1,Οικονομικές Επιστήμες
17,"Η ελαστικότητα προσφοράς για ένα αγαθό είναι ίση με 0,5. Αυτό σημαίνει ότι:","Μία αύξηση της τιμής του προϊόντος κατά 10% θα έχει ως αποτέλεσμα να μειωθεί η προσφερόμενη ποσότητα κατά 0,5%",Μία αύξηση της τιμής του προϊόντος κατά 10 νομισματικές μονάδες θα οδηγήσει σε αύξηση της προσφερόμενης ποσότητας κατά 5 μονάδες,Μία αύξηση της τιμής του προϊόντος κατά 10% θα έχει ως αποτέλεσμα να αυξηθεί η προσφερόμενη ποσότητα κατά 5%,Μία μείωση της τιμής του προϊόντος κατά 10% θα οδηγήσει σε αύξηση της προσφερόμενης ποσότητας κατά 5%,2,Οικονομικές Επιστήμες
18,Μια Κυπριακή εταιρεία έχει ένα εστιατόριο στην Ελλάδα. Ποιο από τα ακόλουθα είναι ορθό;,Η αξία των αγαθών και υπηρεσιών που παράγει το εστιατόριο συμπεριλαμβάνεται τόσο στο Κυπριακό όσο και στο Ελληνικό Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ),Η μισή αξία των αγαθών και υπηρεσιών που παράγει το εστιατόριο περιλαμβάνεται στο Κυπριακό ΑΕΠ και το άλλο μισό στο Ελληνικό ΑΕΠ,Η αξία των αγαθών και υπηρεσιών που παράγει το εστιατόριο συμπεριλαμβάνεται στο Ελληνικό ΑΕΠ και όχι στο Κυπριακό ΑΕΠ,Η αξία των αγαθών και υπηρεσιών που παράγει το εστιατόριο συμπεριλαμβάνεται στο Κυπριακό ΑΕΠ και όχι στο Ελληνικό ΑΕΠ,2,Οικονομικές Επιστήμες
19,Το Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ) αφορά:,Την αγοραία αξία όλων των αγαθών και υπηρεσιών μέσα στα όρια της χώρας σε μια δεδομένη χρονική περίοδο,"Την αγοραία αξία όλων των αγαθών και υπηρεσιών που παράγονται από υπηκόους της χώρας, ανεξάρτητα με την χώρα διαμονής, σε μια δεδομένη χρονική περίοδο",Την αγοραία αξία όλων των τελικών αγαθών και υπηρεσιών που παράγονται μέσα στα όρια της χώρας σε μια δεδομένη χρονική περίοδο,"Την αγοραία αξία όλων των τελικών αγαθών και υπηρεσιών που παράγονται από υπηκόους της χώρας, ανεξάρτητα με την χώρα διαμονής, σε μια δεδομένη χρονική περίοδο",2,Οικονομικές Επιστήμες
20,Αν σε μια χώρα παράνομες δραστηριότητες γίνουν νόμιμες τότε το Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ):,Σίγουρα μειώνεται,Σίγουρα αυξάνεται,Δεν επηρεάζεται αφού στο ΑΕΠ περιλαμβάνονται και νόμιμες και παράνομες δραστηριότητες,Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,1,Οικονομικές Επιστήμες
21,"Ο Αντρέας πληρώνει κάποιον για να του καθαρίζει τον κήπο του, ενώ ο Γιώργος καθαρίζει μόνος του τον κήπο του. Βάση αυτών των δύο πρακτικών ποια από τις ακόλουθες δηλώσεις είναι η ορθή:",Μόνο οι πληρωμές του Αντρέα περιλαμβάνονται στο Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ),Και οι πληρωμές του Αντρέα αλλά και η κατ΄ εκτίμηση αξία των υπηρεσιών καθαρισμού του Γιώργου περιλαμβάνονται στο ΑΕΠ,Ούτε οι πληρωμές του Αντρέα αλλά ούτε και η κατ’ εκτίμηση αξία των υπηρεσιών καθαρισμού του Γιώργου περιλαμβάνονται στο ΑΕΠ,"Οι πληρωμές του Αντρέα σίγουρα περιλαμβάνονται στο ΑΕΠ, ενώ η κατ’ εκτίμηση αξία των υπηρεσιών καθαρισμού του Γιώργου περιλαμβάνεται στο ΑΕΠ μόνο αν ο Γιώργος, εθελοντικά, πληροφορήσει την κυβέρνηση για την αξία αυτών των υπηρεσιών",0,Οικονομικές Επιστήμες
22,Ποιο από τα ακόλουθα στοιχεία ΔΕΝ περιλαμβάνεται στον υπολογισμό του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ) της Ελλάδας;,Τα κέρδη του καταστήματος Χ στην Πάτρα,Οι μισθοί που καταβάλλονται στους υπαλλήλους της Τράπεζας Ψ στη Λάρισα,Η αύξηση του κύκλου εργασιών της ελληνικής Τράπεζας Φ στο Βουκουρέστι,Η αγορά μιας νέας ηλεκτρικής κουζίνας στην Κοζάνη,2,Οικονομικές Επιστήμες
23,Ποιο από τα ακόλουθα ΔΕΝ περιλαμβάνεται στο ελληνικό Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ);,Η αγορά ενός καινούργιου κινέζικου κινητού,Η δαπάνη του κράτους για την κατασκευή ενός δρόμου,Οι πωλήσεις ελληνικής φέτας στο εξωτερικό,Η αγορά ενός καινούργιου σπιτιού στην Αρκαδία,0,Οικονομικές Επιστήμες
24,Εάν ο πληθυσμός μιας οικονομίας είναι 10 εκατομμύρια και το κατά κεφαλή ονομαστικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) είναι 10.000 ευρώ τότε το πραγματικό ΑΕΠ είναι:,1000 εκατομμύρια ευρώ,100 δις ευρώ,100 εκατομμύρια ευρώ,Δεν επαρκούν τα δεδομένα για να δοθεί απάντηση,3,Οικονομικές Επιστήμες
25,To πραγματικό ΑΕΠ είναι το ονομαστικό ΑΕΠ προσαρμοσμένο:,Ώστε να αποφεύγεται διπλός υπολογισμός,Σε μεταβολές των τιμών,Σε μεταβολές του πληθυσμού,Σε μεταβολές των εισαγωγών,1,Οικονομικές Επιστήμες
26,Υποθέστε ότι ο Αποπληθωριστής του ΑΕΠ του έτους 2023 με έτος βάσης το 2015 είναι 105. Αυτό σημαίνει ότι:,Το μέσο επίπεδο τιμών των καταναλωτικών αγαθών και υπηρεσιών ήταν κατά 5% υψηλότερο το 2023 σε σχέση με το 2015,Το μέσο επίπεδο τιμών των αγαθών και υπηρεσιών που περιλαμβάνονται στο ΑΕΠ ήταν κατά 5% υψηλότερο το 2023 σε σχέση με το 2015,Το ονομαστικό ΑΕΠ του 2015 ήταν κατά 105% χαμηλότερο από το ονομαστικό ΑΕΠ του 2023,Το πραγματικό ΑΕΠ του 2023 σε σταθερές τιμές του 2015 ήταν κατά 23% υψηλότερο από το πραγματικό ΑΕΠ του 2015,1,Οικονομικές Επιστήμες
27,Η Ανεργία Τριβής οφείλεται:,Σε έλλειψη πληροφόρησης που να συνδέει άμεσα τα κενά θέσεων εργασίας των επιχειρήσεων με τους ανέργους που έχουν τις κατάλληλες δεξιότητες για τις κενές θέσεις,Στην έλλειψη γνώσεων πληροφορικής από τους ανέργους,Στην ανεπάρκεια της καταναλωτικής πίστης στην οικονομία,Στην αποβιομηχάνιση μιας οικονομίας,0,Οικονομικές Επιστήμες
28,Σε ποια από τις παρακάτω περιπτώσεις έχουμε διαρθρωτική ανεργία;,Ο/Η Χ απορρίπτει μια πρόταση εργασίας γιατί πιστεύει ότι μπορεί να εξασφαλίσει υψηλότερο μισθό σε μια άλλη επιχείρηση,Ο/Η Ψ επανεισέρχεται στην αγορά εργασίας και ψάχνει για απασχόληση,"Το 2023, με την αύξηση του πληθωρισμού, η Κεντρική Ευρωπαϊκή Τράπεζα αυξάνει τα επιτόκια στην Ευρωζώνη, μειώνοντας τη συνολική ζήτηση και επομένως και την οικονομική δραστηριότητα","Η μονάδα Ω παραγωγής ηλεκτρολογικού υλικού κλείνει λόγω χαμηλής ποιότητας των προϊόντων της, απολύοντας όλους/όλες τους/τις εργαζόμενους/ες",3,Οικονομικές Επιστήμες
29,"Ένα άτομο μετακόμισε από την Αθήνα στη Θεσσαλονίκη, όπου βρήκε κατάλληλη (αντίστοιχη των προσόντων του) εργασία μετά από αναζήτηση 3 μηνών. Στο διάστημα αυτό, το εν λόγω άτομο συμπεριλαμβανόταν:",Σε αυτούς που δεν επιθυμούν να εργαστούν,Στη διαρθρωτική ανεργία,Στο φυσικό ποσοστό ανεργίας,Στην κυκλική ανεργία,2,Οικονομικές Επιστήμες
30,"Αν υποθέσουμε ότι στη χώρα Χ το φυσικό ποσοστό ανεργίας είναι 5% και το πραγματικό ποσοστό ανεργίας είναι 7%, τότε:",Το παραγωγικό κενό είναι αρνητικό,Το παραγωγικό κενό είναι θετικό,Η κυκλική ανεργία είναι μηδενική,Το πραγματικό συνολικό προϊόν είναι ίσο με το δυνητικό προϊόν,0,Οικονομικές Επιστήμες
31,Σύμφωνα με την έρευνα εργατικού δυναμικού ένας άνδρας ο οποίος επιλέγει ως μοναδική απασχόληση να παραμένει στο σπίτι και να φροντίζει το νοικοκυριό είναι:,Άνεργος,Απασχολούμενος,Μη εργατικό δυναμικό,Μη εντασσόμενος στις ανωτέρω κατηγορίες,2,Οικονομικές Επιστήμες
32,Ο πληθωρισμός ορίζεται ως:,Η διαχρονική αύξηση του επιπέδου των τιμών,Η μείωση του πραγματικού μισθού,Η αύξηση των τιμών των βασικών αγαθών,Η αύξηση του ονομαστικού μισθού,0,Οικονομικές Επιστήμες
33,"Αν το κόστος ενός καλαθιού αγοράς αυξηθεί από 100 ευρώ το έτος 1, σε 108 ευρώ το έτος 2, ποια είναι η τιμή του δείκτη τιμών καταναλωτή το έτος 2, εάν το έτος 1 είναι έτος βάσης;;",8,"10,8",100,108,3,Οικονομικές Επιστήμες
34,"Εάν ο δείκτης τιμών καταναλωτή αυξηθεί από 70 σε 105 (δηλαδή 35 μονάδες) από το ένα έτος στο επόμενο, ο ρυθμός πληθωρισμού στη διάρκεια αυτής της περιόδου ήταν:",20%,35%,40%,50%,3,Οικονομικές Επιστήμες
35,"Εάν το κόστος ενός καλαθιού αγοράς μειωθεί από 100 ευρώ το έτος 2023 σε 95 ευρώ το έτος 2024, ποια είναι η τιμή του δείκτη τιμών καταναλωτή το έτος 2024, εάν το έτος 2023 είναι το έτος βάσης:",5,105,100,Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,3,Οικονομικές Επιστήμες
36,Ο πληθωρισμός ζήτησης εμφανίζεται όταν:,Μεταβάλλονται σημαντικά οι δημόσιες δαπάνες,Μεταβάλλονται δραστικά οι άμεσοι φόροι,Η συνολική ζήτηση υπερβαίνει το παραγόμενο προϊόν στην πλήρη απασχόληση,"Οποτεδήποτε, η συνολική ζήτηση υπερβαίνει το παραγόμενο προϊόν",2,Οικονομικές Επιστήμες
37,Το επίσημο ποσοστό καθώς και ο προσδιορισμός του ορίου ή κατωφλίου φτώχειας προκύπτει:,Από την έρευνα εργατικού δυναμικού της ΕΛΣΤΑΤ,Από την απογραφή πληθυσμού και κατοικιών της ΕΛΣΤΑΤ,Από την επεξεργασία των φορολογικών δηλώσεων,Από την έρευνα εισοδήματος και συνθηκών διαβίωσης της ΕΛΣΤΑΤ,3,Οικονομικές Επιστήμες
38,"Σύμφωνα με την Ελληνική Στατιστική Αρχή, κατώφλι της φτώχειας, μετά τις κοινωνικές μεταβιβάσεις, ορίζεται το ποσοστό των ατόμων που ζουν σε νοικοκυριά, των οποίων το συνολικό ισοδύναμο διαθέσιμο εισόδημα είναι χαμηλότερο από:",Το 60% του εθνικού διάμεσου ισοδύναμου διαθέσιμου εισοδήματος,Το 50% του εθνικού διάμεσου ισοδύναμου διαθέσιμου εισοδήματος,Το 40% του εθνικού διάμεσου ισοδύναμου διαθέσιμου εισοδήματος,Το 35% του εθνικού διάμεσου ισοδύναμου διαθέσιμου εισοδήματος,0,Οικονομικές Επιστήμες
39,Ως Απόλυτη Φτώχεια ορίζεται:,Η αδυναμία ατόμων ή νοικοκυριών να απολαύσουν ένα επαρκές επίπεδο απαραίτητων αγαθών και υπηρεσιών,Η αδυναμία ατόμων ή νοικοκυριών να απολαύσουν ένα επαρκές επίπεδο διατροφής,Η διαβίωση με αποκλειστικό εισόδημα την εθνική σύνταξη ή το επίδομα ανεργίας,Η διαβίωση σε δομές πρόνοιας,0,Οικονομικές Επιστήμες
40,Ποιο από τα ακόλουθα είναι παράδειγμα επεκτατικής δημοσιονομικής πολιτικής;,Μείωση των επιτοκίων,Μείωση κρατικών μεταβιβαστικών πληρωμών,Αύξηση της φορολογίας,Αύξηση των δημοσίων δαπανών,3,Οικονομικές Επιστήμες
41,Ποιο από τα παρακάτω μέτρα θεωρείται ότι καταπολεμά τον πληθωρισμό ζήτησης;,Η μείωση του Φόρου Προστιθέμενης Αξίας (ΦΠΑ),Η δραστική μείωση ορισμένων κατηγοριών άμεσων φόρων,Η αύξηση των μεταβιβαστικών πληρωμών,Η αύξηση των Φόρων Εισοδήματος Φυσικών Προσώπων,3,Οικονομικές Επιστήμες
42,Ποιο από τα παρακάτω αποτελεί μέτρο ενεργητικής πολιτικής απασχόλησης;,Η παροχή προγραμμάτων κατάρτισης στους ανέργους που προέρχονται από μαζικές απολύσεις μιας βιομηχανικής μονάδας,Η αύξηση των επιδομάτων ανεργίας στους εποχικούς ανέργους του κλάδου του τουρισμού,Η παροχή επιδόματος αλληλεγγύης στους χαμηλόμισθους απασχολούμενους του κλάδου της ενέργειας,Η αύξηση του ονομαστικού μισθού,0,Οικονομικές Επιστήμες
43,Ποια από τις παρακάτω περιπτώσεις θα μπορούσε να αποτελέσει επεκτατική πολιτική με ταυτόχρονη βελτίωση της κατανομής του εισοδήματος;,Μείωση των έμμεσων φόρων στα είδη πρώτης ανάγκης,Μείωση των άμεσων φόρων,Μείωση του του ανώτατου φορολογικού συντελεστή,Μείωση των κρατικών δαπανών,0,Οικονομικές Επιστήμες
44,Ποια από τις παρακάτω περιπτώσεις θεωρείτε ότι θα μπορούσε να οδηγήσει σίγουρα σε ανακατανομή του εισοδήματος υπέρ των ασθενέστερων;,Η κυβέρνηση μειώνει τον οριακό φορολογικό συντελεστή του ανώτερου εισοδηματικού κλιμακίου,Η κυβέρνηση διατηρεί σταθερή τη σχέση έμμεσων και άμεσων φόρων,Η κυβέρνηση αυξάνει το ποσοστό των φορολογικών εσόδων που προέρχονται από τους έμμεσους φόρους,Σε καμία από τις λοιπές περιπτώσεις,3,Οικονομικές Επιστήμες
45,Ποιος φορέας έχει την ευθύνη για την άσκηση νομισματικής πολιτικής (ΝΠ) στη χώρα μας;,Η ΝΠ ασκείται από την Ευρωπαϊκή Κεντρική Τράπεζα και εφαρμόζεται από το Κέντρο Προγραμματισμού και Οικονομικών Ερευνών (ΚΕΠΕ),Η ΝΠ ασκείται από την Ευρωπαϊκή Κεντρική Τράπεζα και εφαρμόζεται από την Εθνική Τράπεζα της Ελλάδος,Η ΝΠ ασκείται από την Ευρωπαϊκή Κεντρική Τράπεζα και εφαρμόζεται από την Τράπεζα της Ελλάδος,Η ΝΠ ασκείται από την Ευρωπαϊκή Κεντρική Τράπεζα και εφαρμόζεται από το Υπουργείο Εθνικής Οικονομίας και Οικονομικών,2,Οικονομικές Επιστήμες
46,Ποιο από τα παρακάτω αποτελεί μέτρο περιοριστικής νομισματικής πολιτικής:,Η μείωση των επιτοκίων,Η αύξηση των επιτοκίων,Η μείωση του κατώτατου μισθού,Η αύξηση του κατώτατου μισθού,1,Οικονομικές Επιστήμες
47,"Ποια θεωρείτε ότι θα είναι η επίπτωση στο επίπεδο ισορροπίας του Εθνικού Εισοδήματος (ΕΕ) από την επιβολή επιπλέον φόρων στα ανώτερα εισοδηματικά κλιμάκια, που συνοδεύεται από ταυτόχρονη ισόποση αύξηση των μεταβιβαστικών πληρωμών στα νοικοκυριά που βρίσκονται σε κατάσταση φτώχειας και κοινωνικού αποκλεισμού;",Το ΕΕ θα αυξηθεί,Το ΕΕ θα μειωθεί,Το ΕΕ θα παραμείνει σταθερό,Στα πρώτα στάδια της πολλαπλασιαστικής διαδικασίας θα αυξηθεί αλλά τελικώς θα μειωθεί,0,Οικονομικές Επιστήμες
48,"Σε ποια από τις παρακάτω περιπτώσεις θεωρείτε ότι μία αύξηση της δαπάνης για δημόσια έργα, θα μπορούσε να αποτελέσει αποτελεσματικό μέτρο:",Για την αντιμετώπιση του πληθωρισμού ζήτησης,Για την αντιμετώπιση του στασιμοπληθωρισμού,Για την αντιμετώπιση της ύφεσης,Για την αντιμετώπιση της ακρίβειας,2,Οικονομικές Επιστήμες
49,Ποιο από τα παρακάτω ΔΕΝ είναι δημόσια δαπάνη;,Μεταβιβαστικές πληρωμές,Τόκοι δημοσίου χρέους,Εισφορές κοινωνικής ασφάλισης,Επιδόματα δημοσίου,2,Οικονομικές Επιστήμες
50,"Το Ελληνικό Δημόσιο έχει έσοδα 50 δισ. ευρώ, δαπάνες 70 δισ. ευρώ καθώς και πληρωμή τόκων για την εξυπηρέτηση του δημοσίου χρέους 5 δισ. ευρώ. Πόσο είναι το πρωτογενές έλλειμμα του Ελληνικού Δημοσίου;",25 δισ. ευρώ,20 δισ. ευρώ,15 δισ. ευρώ,Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,1,Οικονομικές Επιστήμες
51,Ποιο από τα παρακάτω αποτελεί παράδειγμα πραγματικού μεγέθους;,Το ημερομίσθιο σε ευρώ,Ο λόγος του χρηματικού ημερομίσθιου προς την τιμή του λαδιού,Η τιμή του σταριού,Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,1,Οικονομικές Επιστήμες
52,Σε ποια από τις παρακάτω περιπτώσεις αυξάνεται ο πραγματικός μισθός;,Με αύξηση των τιμών ενώ ο ονομαστικός μισθός παραμένει σταθερός,Με αύξηση των τιμών και ισόποση ποσοστιαία αύξηση του ονομαστικού μισθού,Με μείωση των τιμών ενώ ο ονομαστικός μισθός παραμένει σταθερός,Σε καμία από τις λοιπές περιπτώσεις,2,Οικονομικές Επιστήμες
53,"Εάν το ονομαστικό επιτόκιο είναι 6% και ο πληθωρισμός είναι στο επίπεδο του 3%, το πραγματικό επιτόκιο είναι:",2%,6%,9%,Καμία από τις λοιπές απαντήσεις δεν είναι σωστή,3,Οικονομικές Επιστήμες
54,Με τον όρο παραγωγικότητα της εργασίας εννοούμε:,Τις ώρες εργασίας που εργάζεται ένας/μία εργαζόμενος/η εντατικά,Οι μονάδες παραγόμενου προϊόντος ανά ώρα αντικειμενικής εργασίας,Το παραγόμενο προϊόν από τους/τις πλήρως εξειδικευμένους εργαζόμενους/ες,Το παραγόμενο προϊόν αποτιμημένο σε χρηματικές μονάδες προς τον αριθμό του συνόλου των εργαζομένων,1,Οικονομικές Επιστήμες
55,Η παραγωγικότητα της εργασίας μπορεί να αυξηθεί:,Με την εισαγωγή νέων τεχνολογιών,Με την προσθήκη επιπλέον εργαζομένων,Με την επέκταση της εργασίας και τα Σάββατα,Σε καμία από τις λοιπές περιπτώσεις δεν είναι δυνατόν να αυξηθεί η παραγωγικότητα της εργασίας,0,Οικονομικές Επιστήμες
56,Οι δασμοί εντάσσονται στην κατηγορία:,Των άμεσων φόρων,Των γενικών φόρων,Των έμμεσων φόρων,Σε καμία από τις λοιπές αναφερόμενες κατηγορίες,2,Οικονομικές Επιστήμες
57,Το διαθέσιμο προσωπικό εισόδημα ενός ατόμου ορίζεται ως:,Το προσωπικό εισόδημα προ φόρων ΣΥΝ τις μεταβιβαστικές πληρωμές,Το προσωπικό εισόδημα μείον οι άμεσοι φόροι συν οι μεταβιβαστικές πληρωμές,Το προσωπικό εισόδημα ΜΕΙΟΝ οι έμμεσοι φόροι ΣΥΝ οι μεταβιβαστικές πληρωμές,Το προσωπικό εισόδημα αφού αφαιρεθούν οι άμεσοι και έμμεσοι φόροι,1,Οικονομικές Επιστήμες
58,Ποια από τις παρακάτω οικονομικές μεταβλητές εντάσσεται στην κατηγορία των μεταβιβαστικών πληρωμών;,Οι δαπάνες του κράτους για δημόσια έργα,Οι εξαγωγές,Οι ιδιωτικές επενδύσεις,Δεν εντάσσεται καμία από τις λοιπές αναφερόμενες μεταβλητές,3,Οικονομικές Επιστήμες
59,Ποιος από τους παρακάτω φόρους ανήκει στην κατηγορία των άμεσων φόρων;,Φόρος Προστιθέμενης Αξίας,Φόρος επί της αξίας κληρονομηθέντος ακινήτου,Δασμός στα εισαγόμενα αυτοκίνητα από την Ιαπωνία,Ειδικός φόρος στα καύσιμα,1,Οικονομικές Επιστήμες
60,"Όταν ο συντελεστής φορολογίας εισοδήματος ανέρχεται σε 22% για εισοδήματα μέχρι 25.000 ευρώ ενώ μειώνεται απότομα για εισοδήματα άνω των 25.000 ευρώ, τότε το φορολογικό μας σύστημα είναι:",Αναλογικής φορολογίας,Προοδευτικής φορολογίας,Αντιστρόφως αναλογικής φορολογίας,Αντιστρόφως προοδευτικής φορολογίας,3,Οικονομικές Επιστήμες
61,"Στον παρακάτω πίνακα παρουσιάζονται τα κλιμάκια φορολογητέου εισοδήματος και οι αντίστοιχοι οριακοί φορολογικοί συντελεστές.<table border=""1"" style=""border-collapse: collapse; width: 100%; text-align: center;""><thead><tr><th>Κλιμάκια Φορολογητέου Εισοδήματος (€)</th><th>Οριακός Φορολογικός Συντελεστής (%)</th></tr></thead><tbody><tr><td>0 – 10.000</td><td>10</td></tr><tr><td>10.001 – 30.000</td><td>20</td></tr><tr><td>30.001 και άνω</td><td>40</td></tr></tbody></table>Η φορολογία στο εν λόγω παράδειγμα χαρακτηρίζεται ως:",Αναλογική,Προοδευτική,Άδικη,Δεν επαρκούν τα δεδομένα για τον χαρακτηρισμό,1,Οικονομικές Επιστήμες
62,Οι καθαροί έμμεσοι φόροι είναι:,Το άθροισμα των έμμεσων φόρων και των επιδοτήσεων,Οι έμμεσοι φόροι μείον τις επιδοτήσεις,Οι επιδοτήσεις μείον τους έμμεσους φόρους,Οι έμμεσοι φόροι μείον τις αποσβέσεις,1,Οικονομικές Επιστήμες
63,Σε ποια κατηγορία φόρων ανήκουν οι φόροι περιουσίας;,Στους άμεσους φόρους,Στους έμμεσους φόρους,Στο δημόσιο δανεισμό,Καμία από τις λοιπές κατηγορίες,0,Οικονομικές Επιστήμες
64,Ποια είναι η κλίμακα της συμμετοχής των έμμεσων φόρων στα έσοδα από τη φορολογία στην Ελλάδα;,10%,60%,24%,30%,1,Οικονομικές Επιστήμες
65,"Για το έτος 2024, τα δεδομένα μίας οικονομίας δείχνουν ότι το δημοσιονομικό αποτέλεσμα ήταν αρνητικό, ενώ το κυκλικά προσαρμοσμένο δημοσιονομικό αποτέλεσμα ήταν θετικό. Από τα παραπάνω συμπεραίνουμε ότι το έτος 2024, το πραγματικό ΑΕΠ της εν λόγω οικονομίας ήταν:",Ίσο με το δυνητικό προϊόν,Μεγαλύτερο από το δυνητικό προϊόν,Μικρότερο από το δυνητικό προϊόν,Ίσο με το προϊόν πλήρους απασχόλησης,2,Οικονομικές Επιστήμες
66,Η δομή του δημοσίου συστήματος κοινωνικής ασφάλισης:,Έχει την κεφαλαιοποιητική μορφή,Συνήθως έχει μη-κεφαλαιοποιητική μορφή,Είναι επιλογή του ασφαλισμένου,Απαγορεύει στο δημόσιο να προσφέρει κοινωνική ασφάλιση,1,Οικονομικές Επιστήμες
67,Σύμφωνα με την αρχή της οριζόντιας φορολογικής ισότητας:,"Φορολογούμενοι με υψηλότερα εισοδήματα, θα πρέπει να καταβάλουν υψηλότερους φόρους σε σχέση με φορολογούμενους με χαμηλότερα εισοδήματα","Ταυτόσημοι φορολογούμενοι σε όρους υποκείμενων πόρων, θα πρέπει να καταβάλουν το ίδιο ποσό σε φόρους, ανεξαρτήτως της μορφής με την οποία επιλέγουν να λάβουν ή να δαπανήσουν τους πόρους τους","Ταυτόσημοι φορολογούμενοι σε όρους υποκείμενων πόρων, θα πρέπει να καταβάλουν διαφορετικά ποσά σε φόρους, ανάλογα με τη μορφή με την οποία επιλέγουν να λαμβάνουν τους πόρους τους","Ταυτόσημοι φορολογούμενοι σε όρους υποκείμενων πόρων, θα πρέπει να καταβάλουν διαφορετικά ποσά σε φόρους, ανάλογα με τη μορφή με την οποία επιλέγουν να δαπανήσουν τους πόρους τους Ενότητα: Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού",1,Οικονομικές Επιστήμες
1,Η Διοικητική Επιστήμη ως επιστημονικός κλάδος συνδέεται με:,Τη Νομική Επιστήμη,Την Οικονομική Επιστήμη,Την Κοινωνιολογία,Όλες τις λοιπές επιστήμες,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
2,«Άρτια εκπαιδευμένο ανθρώπινο δυναμικό ενός οργανισμού». Σε ποιο από τα τέσσερα τεταρτημόρια της S.W.O.T. Ανάλυσης εντάσσεται η συγκεκριμένη πρόταση;,Strengths (Δυνατότητες),Weaknesses (Αδυναμίες),Opportunities (Ευκαιρίες),Threats(Απειλές),0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
3,Σε μια εφοδιαστική αλυσίδα υφίσταται:,Ροή πληροφοριών,Ροή προϊόντων,Ροή κεφαλαίου και γνώσης,Όλες οι λοιπές απαντήσεις,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
4,Το οργανόγραμμα:,Απεικονίζει τη διάρθρωση των υπηρεσιών ενός δημόσιου φορέα σε οργανικές μονάδες,Ταυτίζεται με τον οργανισμό ενός δημόσιου φορέα,Απεικονίζει τη διάρθρωση των υπηρεσιών ενός δημόσιου φορέα σε οργανικές μονάδες και την κατανομή των αρμοδιοτήτων σε καθεμιά από αυτές,Απεικονίζει την αποστολή ενός δημόσιου φορέα και τη διάρθρωση των υπηρεσιών του σε οργανικές μονάδες,0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
5,Η αποτελεσματική ηγεσία:,Είναι αυστηρή και δεν μεταβάλλεται διαχρονικά,"Συνδυάζει πολλαπλούς ρόλους, αναλόγως των δεδομένων του περιβάλλοντος",Τοποθετεί τις ανάγκες του ανθρώπινου δυναμικού πάνω από αυτές του/της Προϊσταμένου/ης,Δεν αποκλίνει από τις προδιαγεγραμμένες διαδικασίες και σπανίως επιχειρεί αλλαγές,1,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
6,Η ευθύνη για τη διενέργεια ορισμένης λειτουργίας:,Δεν προϋποθέτει την ύπαρξη της αναγκαίας αρμοδιότητας για την εκτέλεσή της,Μόνο σε συγκεκριμένες περιπτώσεις προϋποθέτει την ύπαρξη της αναγκαίας αρμοδιότητας για την εκτέλεσή της,Προϋποθέτει την ύπαρξη της αναγκαίας αρμοδιότητας για την εκτέλεσή της,Συνήθως προϋποθέτει την ύπαρξη της αναγκαίας αρμοδιότητας για την εκτέλεσή της,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
