#,question,a,b,c,d,correct_answer,category
8,Το περίφημο παράδειγμα της βιοτεχνίας καρφίτσας του Adam Smith (1723-1790) αναφέρεται:,Στην εξειδίκευση και στην αύξηση της παραγωγικότητας της εργασίας,Στην βελτίωση του κεφαλαιουχικού εξοπλισμού της επιχείρησης,Στην αύξηση των εξαγωγών καρφίτσας,Στη δημιουργία συνδικαλιστικού σωματείου εργαζομένων,0,Οικονομικές Επιστήμες
9,"Τι σημαίνει η έννοια ""ελαστικότητα της ζήτησης"";",Η μεταβολή  της τιμής ενός αγαθού όταν μεταβάλλεται η ζητούμενης ποσότητα,Η ευαισθησία της ζητούμενης ποσότητας ως προς μία μεταβολή στην τιμή,Η σχέση μεταξύ προσφοράς και ζήτησης,Η απόσταση μεταξύ της καμπύλης ζήτησης και της καμπύλης προσφοράς,1,Οικονομικές Επιστήμες
10,Εάν η τιμή ενός αγαθού βρίσκεται πάνω από την τιμή ισορροπίας:,Δημιουργείται  πλεόνασμα και η τιμή θα τείνει να αυξηθεί,Δημιουργείται πλεόνασμα και η τιμή θα τείνει να μειωθεί,Δημιουργείται έλλειμμα και η τιμή θα τείνει να αυξηθεί,Δημιουργείται έλλειμμα και η τιμή θα τείνει να μειωθεί,1,Οικονομικές Επιστήμες
11,Μία αύξηση της ζήτησης (μετατόπιση προς τα δεξιά της καμπύλης ζήτησης) ενός αγαθού τείνει να προκαλέσει:,Αύξηση της τιμής και της ποσότητας ισορροπίας,Μείωση της τιμής και της ποσότητας ισορροπίας,Αύξηση της τιμής ισορροπίας και μείωση της ποσότητας ισορροπίας,Μείωση της τιμής ισορροπίας και αύξηση της ποσότητας ισορροπίας,0,Οικονομικές Επιστήμες
12,Εάν η τιμή ενός αγαθού βρίσκεται κάτω από την τιμή ισορροπίας:,Δημιουργείται  πλεόνασμα και η τιμή θα τείνει να αυξηθεί,Δημιουργείται πλεόνασμα και η τιμή θα τείνει να μειωθεί,Δημιουργείται έλλειμμα και η τιμή θα τείνει να αυξηθεί,Δημιουργείται έλλειμμα και η τιμή θα τείνει να μειωθεί,2,Οικονομικές Επιστήμες
13,Εάν τα αγαθά Χ και Ψ είναι συμπληρωματικά τότε:,"Εάν αυξηθεί η τιμή του Χ, η ζητούμενη ποσότητα του Ψ τείνει να αυξηθεί","Εάν αυξηθεί η τιμή του Χ, η ζητούμενη ποσότητα του Ψ τείνει να μειωθεί","Εάν αυξηθεί η τιμή του Χ, η ζητούμενη ποσότητα του Ψ παραμένει ανεπηρέαστη",Όλες οι λοιπές προτάσεις είναι λανθασμένες,1,Οικονομικές Επιστήμες
14,Διαπιστώστε ποια από τις παρακάτω προτάσεις είναι αληθής:,Η τιμή ισορροπίας ενός αγαθού αντιστοιχεί στο μέγιστο κέρδος του παραγωγού,Η τιμή ισορροπίας ενός αγαθού προσδιορίζεται κατά την περίοδο των εκπτώσεων,Η τιμή ισορροπίας ενός αγαθού προσδιορίζεται στην αγορά όταν η ζητούμενη ποσότητα είναι ίση με την προσφερόμενη,Η τιμή ισορροπίας ενός αγαθού προσδιορίζεται μετά την αφαίρεση του ΦΠΑ,2,Οικονομικές Επιστήμες
15,Διαπιστώστε ποια από τις παρακάτω προτάσεις είναι αληθής:,Η εισοδηματική ελαστικότητα ζήτησης είναι ίση με το μηδέν (0) στην περίπτωση ενός κανονικού αγαθού,Η εισοδηματική ελαστικότητα ζήτησης είναι μεγαλύτερη από το μηδέν (0) στην περίπτωση ενός κανονικού αγαθού,Η εισοδηματική ελαστικότητα ζήτησης είναι μικρότερη από το μηδέν (0) στην περίπτωση ενός κανονικού αγαθού,Η εισοδηματική ελαστικότητα ζήτησης είναι μεγαλύτερη από το μηδέν (0) στην περίπτωση ενός κατώτερου αγαθού,1,Οικονομικές Επιστήμες
16,Τι ορίζεται ως «κατώτερο αγαθό»;,Το αγαθό του οποίου η ζητούμενη ποσότητα αυξάνεται όταν μειώνεται η τιμή του,Το αγαθό του οποίου η ζητούμενη ποσότητα μειώνεται όταν αυξάνεται το εισόδημα του καταναλωτή,Το αγαθό η κατανάλωση του οποίου  ζημιώνει την υγεία του καταναλωτή,Το αγαθό το οποίο αποσύρεται από την αγορά ως ακατάλληλο,1,Οικονομικές Επιστήμες
17,Καθαρές εξαγωγές είναι:,Οι εισαγωγές συν τις εξαγωγές,Οι εισαγωγές μείον τις εξαγωγές,Οι εξαγωγές μείον τις εισαγωγές,Οι εξαγωγές μείον τις εισαγωγές κεφαλαιουχικών αγαθών,2,Οικονομικές Επιστήμες
18,"Όταν ένα άτομο παίρνει αύξηση στο τρέχον εισόδημα, τι είναι πιθανό να συμβεί στην κατανάλωση και την αποταμίευση;",Η κατανάλωση και η αποταμίευση αυξάνονται,Η κατανάλωση αυξάνεται και η αποταμίευση μειώνεται,Η κατανάλωση μειώνεται και η αποταμίευση αυξάνεται,Η κατανάλωση και η αποταμίευση μειώνονται,0,Οικονομικές Επιστήμες
19,Εάν αυξηθεί η οριακή ροπή για αποταμίευση:,Οι καταναλωτές επιθυμούν να επενδύουν περισσότερο,Οι καταναλωτές επιθυμούν να αποταμιεύουν λιγότερο,Οι καταναλωτές επιθυμούν να καταναλώσουν λιγότερο,Καμία από τις λοιπές απαντήσεις,2,Οικονομικές Επιστήμες
20,"Υποθέστε ότι μία πολιτικός μηχανικός, μόνιμη κάτοικος Ελλάδος, εργάζεται στη Γερμανία στην κατασκευή ενός εργοστασίου για λογαριασμό μιας γερμανικής εταιρίας. Οι απολαβές της ανέρχονται σε €10.000. Το ποσό αυτό:",Είναι μέρος του ελληνικού ακαθάριστου εγχώριου προϊόντος,Είναι μέρος του γερμανικού ακαθάριστου εθνικού προϊόντος,Είναι μέρος του ελληνικού ακαθάριστου εθνικού προϊόντος,Καμία από τις λοιπές απαντήσεις,2,Οικονομικές Επιστήμες
21,"Μια μείωση των δημοσίων δαπανών, είναι πιθανό:",Να αυξήσει το επιτόκιο,Να μειώσει την συνολική ζήτηση,Να τονώσει την συνολική ζήτηση,Να εκτοπίσει την επενδυτική δραστηριότητα του ιδιωτικού τομέα,1,Οικονομικές Επιστήμες
22,Ο πολλαπλασιαστής επενδύσεων δείχνει ότι:,Μια αύξηση των επενδύσεων αυξάνει την απασχόληση,Μια μείωση επενδύσεων αυξάνει τις εισαγωγές,Μια αύξηση των επενδύσεων αυξάνει το εισόδημα  ισορροπίας,Μια αύξηση των επενδύσεων αυξάνει τους μισθούς,2,Οικονομικές Επιστήμες
23,Ποια από τις παρακάτω φράσεις εκφράζει καλύτερα τον τυπικό οικονομικό κύκλο;,Η αύξηση της οικονομικής δραστηριότητας ακολουθείται από τη μείωση της οικονομικής δραστηριότητας,Η αύξηση του πληθωρισμού ακολουθείται από την αύξηση της ανεργίας,Η αύξηση του πλεονάσματος του εμπορικού ισοζυγίου ακολουθείται από την αύξηση του ελλείματος του εμπορικού ισοζυγίου,Ο στασιμοπληθωρισμός ακολουθείται από οικονομική μεγέθυνση με πληθωρισμό,0,Οικονομικές Επιστήμες
24,Η οριακή ροπή προς αποταμίευση εκφράζει:,Το ποσοστό της συνολικής αποταμίευσης επί του συνολικού εισοδήματος,Την μεταβολή στην αποταμίευση που προκύπτει από μια μεταβολή στο διαθέσιμο εισόδημα,Τη διαφορά μεταξύ συνολικού εισοδήματος και συνολικής κατανάλωσης,Το ποσοστό της συνολικής κατανάλωσης επί του συνολικού εισοδήματος,1,Οικονομικές Επιστήμες
25,Σε ποια περίπτωση από τις παρακάτω θεωρείτε ότι σε μια οικονομία υπάρχει έλλειμμα στο εμπορικό ισοζύγιο:,Οι καθαρές εξαγωγές αντιστοιχούν σε αρνητικό μέγεθος,Οι καθαρές εξαγωγές αντιστοιχούν σε θετικό μέγεθος,Οι εξαγωγές υπερβαίνουν τις εισαγωγές,Οι εξαγωγές αντισταθμίζουν τις εισαγωγές,0,Οικονομικές Επιστήμες
26,Εάν το Ευρώ υποτιμάται έναντι του Δολαρίου:,Οι Αμερικανοί/ίδες τουρίστες/ριες που θα ταξιδέψουν στην Ελλάδα ωφελούνται,Οι Έλληνες/ίδες τουρίστες/ριες που θα ταξιδέψουν στις ΗΠΑ ωφελούνται,Οι Αμερικανοί/ίδες τουρίστες/ριες που θα ταξιδέψουν στην Ελλάδα θα ξοδέψουν περισσότερα,Για τους Έλληνες/ίδες τουρίστες/ριες που θα ταξιδέψουν στις ΗΠΑ δεν θα υπάρξει καμία επίπτωση,0,Οικονομικές Επιστήμες
27,Ποιος θα ωφεληθεί από μία υποτίμηση του Δολαρίου;,Αμερικανός τουρίστας που ταξιδεύει στην Ευρώπη,Εισαγωγέας Ρωσικής βότκας,Ιταλός εισαγωγέας Αμερικάνικου αλουμινίου,Σαουδάραβας πρίγκιπας που εξάγει πετρέλαιο στις ΗΠΑ,2,Οικονομικές Επιστήμες
28,Κατά την περίοδο 2008-2016 η Ελλάδα έχασε:,Πάνω από το 25% του ΑΕΠ σε σταθερές τιμές,Περίπου 10% του ΑΕΠ σε σταθερές τιμές,Περίπου 5% του ΑΕΠ σε σταθερές τιμές,Πάνω από 50% σε σταθερές τιμές,0,Οικονομικές Επιστήμες
29,Σύμφωνα με την τριμηνιαία Έρευνα Εργατικού Δυναμικού της ΕΛΣΤΑΤ / EUROSTAT το βασικό στοιχείο που χαρακτηρίζει τον άνεργο άνδρα ή την άνεργη γυναίκα εργάσιμης ηλικίας είναι:,Η αναζήτηση εργασίας μέσω της Δημόσιας Υπηρεσίας Απασχόλησης εφόσον εργάζονται κάτω από 5 ώρες την εβδομάδα και είναι έτοιμοι ή έτοιμες να την αναλάβουν όταν τους δοθεί,Η μη απασχόληση καθώς και η ενεργή αναζήτηση εργασίας την οποία είναι έτοιμοι ή έτοιμες να την αναλάβουν όταν τους δοθεί,Η μη απασχόληση καθώς και η ενεργή αναζήτηση εργασίας την οποία είναι έτοιμοι ή έτοιμες να την αναλάβουν όταν τους δοθεί εξαιρουμένων των μαθητών και φοιτητών,Η μη απασχόληση ανεξαρτήτως ενεργειών εύρεσης εργασίας,1,Οικονομικές Επιστήμες
30,Ως Εργατικό Δυναμικό ή Οικονομικά Ενεργός Πληθυσμός ορίζεται:,Το άθροισμα των απασχολουμένων και ανέργων ανδρών και γυναικών εργάσιμης ηλικίας,Ο πληθυσμός της χώρας εργάσιμης ηλικίας,Ο πληθυσμός της χώρας εργάσιμης ηλικίας εξαιρουμένων των μαθητών / μαθητριών  και φοιτητών / φοιτητριών,Ο πληθυσμός εργάσιμης ηλικίας εξαιρουμένων των μη δυνάμενων να εργασθούν,0,Οικονομικές Επιστήμες
31,Σύμφωνα με τον επίσημο ορισμό το ποσοστό ανεργίας που υπολογίζεται με βάση τα στοιχεία που προκύπτουν από την τριμηνιαία Έρευνα Εργατικού Δυναμικού της ΕΛΣΤΑΤ / EUROSTAT,Ως το ποσοστό των ανέργων στο εργατικό δυναμικό,Ως το ποσοστό των ανέργων στον πληθυσμό 15 ετών και άνω,Ως το ποσοστό των ανέργων στο σύνολο του πληθυσμού,Καμία από τις λοιπές απαντήσεις,0,Οικονομικές Επιστήμες
32,Σύμφωνα με την Έρευνα Εργατικού Δυναμικού που διεξάγεται από την ΕΛΣΤΑΤ:,Κατά τα τελευταία χρόνια παρατηρείται αξιόλογη αποκλιμάκωση του ποσοστού ανεργίας σε σχέση με τον μέσο όρο κατά την περίοδο της κρίσης,Κατά τα τελευταία χρόνια παρατηρείται ελαφρά αύξηση του ποσοστού ανεργίας σε σχέση με τον μέσο όρο κατά την περίοδο της κρίσης,Κατά τα τελευταία χρόνια παρατηρείται σταθεροποίηση του ποσοστού ανεργίας σε σχέση με τον μέσο όρο κατά την περίοδο της κρίσης,Κατά τα τελευταία χρόνια παρατηρείται αξιόλογη αύξηση του ποσοστού ανεργίας σε σχέση με τον μέσο όρο κατά την περίοδο της κρίσης,0,Οικονομικές Επιστήμες
33,Ποια από τις παρακάτω πληθυσμιακές ομάδες παρουσιάζει διαχρονικά υψηλότερο ποσοστό ανεργίας στην Ελλάδα σύμφωνα με την Έρευνα Εργατικού Δυναμικού της ΕΛΣΤΑΤ;,Άνδρες 20-64,Γυναίκες 20-64,Σύνολο ανδρών και γυναικών 20-64,Άνδρες 15 και άνω,1,Οικονομικές Επιστήμες
34,Ποιο είναι ένα πιθανό αρνητικό αποτέλεσμα του πληθωρισμού;,Η μείωση του κόστους ζωής,Η αύξηση της αγοραστικής δύναμης των χρημάτων,Η μείωση της αξίας του χρήματος,Η σταθεροποίηση των τιμών,2,Οικονομικές Επιστήμες
35,Ποιος από τους παρακάτω είναι τύπος πληθωρισμού;,Εισαγόμενος πληθωρισμός,Πληθωρισμός από φορολογικές μειώσεις,Πληθωρισμός από μείωση εισαγωγών,Πληθωρισμός από ισοζύγιο πληρωμών,0,Οικονομικές Επιστήμες
36,Η οικονομία βιώνει στασιμοπληθωρισμό όταν παρατηρείται:,Πτώση τιμών και πτώση του παραγόμενου προϊόντος,Πτώση τιμών και αύξηση του παραγόμενου προϊόντος,Αύξηση τιμών και αύξηση του παραγόμενου προϊόντος,Αύξηση τιμών και μείωση του παραγόμενου προϊόντος,3,Οικονομικές Επιστήμες
37,Μία οικονομία είναι σε ύφεση όταν:,Το πραγματικό ΑΕΠ μειώνεται,Το ονομαστικό ΑΕΠ μειώνεται,Όταν μειώνεται η οριακή ροπή για κατανάλωση,Όταν μειώνεται ο πολλαπλασιαστής της οικονομίας,0,Οικονομικές Επιστήμες
38,Κύριο χαρακτηριστικό της ύφεσης είναι:,Η αύξηση του ποσοστού των ρευστών διαθεσίμων στις τράπεζες,Η αύξηση των επιτοκίων,Η ανεργία,Η αύξηση της μερικής απασχόλησης,2,Οικονομικές Επιστήμες
39,Σύμφωνα με τα στοιχεία της ΕΛΣΤΑΤ (Έρευνα Εισοδήματος και Συνθηκών Διαβίωσης) το κατώφλι της φτώχειας για μονοπρόσωπο νοικοκυριό το 2023 ήταν:,Στο επίπεδο των 2000 ευρώ ετησίως,Στο επίπεδο των 3000 ευρώ ετησίως,Στο επίπεδο των 4000 ευρώ ετησίως,Στο επίπεδο των 6000 ευρώ ετησίως,3,Οικονομικές Επιστήμες
40,Η Έρευνα Διαβίωσης και Συνθηκών Διαβίωσης της ΕΛΣΤΑΤ:,Είναι απογραφική και διεξάγεται κάθε 5 χρόνια,Θεωρείται διοικητική πηγή και αντλεί στοιχεία από τις Φορολογικές Δηλώσεις,Είναι ετήσια δειγματοληπτική με κάλυψη το σύνολο των Περιφερειών της χώρας,Είναι ετήσια δειγματοληπτική και καλύπτει τις Περιφέρειες Αττικής και Κεντρικής Μακεδονίας,2,Οικονομικές Επιστήμες
41,Μια από τις οικονομικές λειτουργίες του κράτους είναι η λειτουργία της σταθεροποίησης και ανάπτυξης της οικονομίας. Αυτή η λειτουργία αφορά την υιοθέτηση:,Μέτρων που αφορούν τη διανομή και αναδιανομή του εισοδήματος,"Δράσεων που, μεταξύ άλλων, αφορούν την εξάλειψη ή τον περιορισμό των εξωτερικών επιδράσεων, τον εφοδιασμό της κοινωνίας με δημόσια αγαθά και αγαθά κοινής ωφέλειας και τη ρύθμιση των συνεπειών της ασύμμετρης πληροφόρησης",Μέτρων που αφορούν τη μείωση της ανεργίας και την αναχαίτιση του πληθωρισμού,Καμία από τις λοιπές απαντήσεις,2,Οικονομικές Επιστήμες
42,"Για να τερματίσει τον υπερπληθωρισμό, μια κυβέρνηση που προσπαθεί να μειώσει την εξάρτησή της από τη νομισματοκοπή θα:",Εκτυπώσει περισσότερα χρήματα,Αυξήσει τους φόρους και μειώσει τις δαπάνες,Μειώσει τους φόρους και αυξήσει τις δαπάνες,Μειώσει τα επιτόκια,1,Οικονομικές Επιστήμες
43,Μια τυπική τάση κατά τη διάρκεια μιας ύφεσης είναι ότι:,Το ποσοστό ανεργίας μειώνεται,Ανεβαίνει η δημοτικότητα του εν ενεργεία προέδρου,Τα εισοδήματα πέφτουν,Ο ρυθμός πληθωρισμού αυξάνεται,2,Οικονομικές Επιστήμες
44,Ποια από τις παρακάτω πολιτικές αποτελεί παράδειγμα «περιοριστικής δημοσιονομικής πολιτικής»;,Η αύξηση των δημοσίων δαπανών για επενδύσεις σε υποδομές,Η μείωση των φόρων για να ενισχυθεί η κατανάλωση,Η αύξηση των φόρων ή και η μείωση των δημόσιων δαπανών,Η παροχή επιδοτήσεων για τη στήριξη των επιχειρήσεων,2,Οικονομικές Επιστήμες
45,Τι είναι ο «δημοσιονομικός πολλαπλασιαστής»;,Ο λόγος μεταξύ της μεταβολής του ΑΕΠ και της μεταβολής των δημόσιων δαπανών ή φόρων,Ο λόγος μεταξύ της αύξησης του δημόσιου χρέους και των δημόσιων εσόδων,Το ποσοστό αύξησης των εσόδων από φόρους όταν αυξάνονται οι φορολογικοί συντελεστές,Η μέτρηση της επίδρασης των δημόσιων δαπανών στην ανισότητα των εισοδημάτων,0,Οικονομικές Επιστήμες
46,Ποιο από τα παρακάτω μπορεί να είναι αποτέλεσμα μιας «φορολογικής πολιτικής που βασίζεται στην καμπύλη Laffer»;,Η αύξηση των φορολογικών συντελεστών αυξάνει τα δημόσια έσοδα απεριόριστα,Η υπερβολική αύξηση των φορολογικών συντελεστών μπορεί να μειώσει τα δημόσια έσοδα,Η μείωση των φόρων οδηγεί σε άμεση εξάλειψη του δημόσιου ελλείμματος,Η αύξηση της φορολογίας μειώνει πάντα την οικονομική δραστηριότητα,1,Οικονομικές Επιστήμες
47,Πώς μπορεί να ελεγχθεί ο πληθωρισμός;,Με τη μείωση της φορολογίας,Με την αύξηση της προσφοράς χρήματος,Με τη μείωση των επιτοκίων,Με συσταλτική νομισματική πολιτική,3,Οικονομικές Επιστήμες
48,Ποιο από τα παρακάτω μέτρα θεωρείτε ότι αποτελεί μέτρο περιοριστικής οικονομικής πολιτικής;,Αύξηση των δημοσίων δαπανών για αγαθά και υπηρεσίες,Αύξηση των ρευστών διαθεσίμων στις Τράπεζες,Μείωση των φόρων,Κανένα από τα λοιπά μέτρα,1,Οικονομικές Επιστήμες
49,"Έστω ότι η Κεντρική Τράπεζα έχει καθορίσει το ποσοστό των ρευστών διαθεσίμων στο 20%, τότε  οι εμπορικές τράπεζες έχουν δυνατότητα για κάθε 100 ευρώ που καταθέτουν οι πελάτες τους, να δανείσουν:",Έως 20 ευρώ,Τουλάχιστον 20 ευρώ,Έως 80 ευρώ,Τουλάχιστον 80 ευρώ,2,Οικονομικές Επιστήμες
50,Όταν ο προϋπολογισμός εμφανίζει έλλειμμα και το κράτος πληρώνει τόκους για  δάνεια που έχει λάβει τότε:,Το πρωτογενές έλλειμμα είναι ίσο του ελλείματος του προϋπολογισμού,Το πρωτογενές έλλειμμα είναι μικρότερο του ελλείματος του προϋπολογισμού,Το πρωτογενές έλλειμμα είναι μεγαλύτερο του ελλείματος του προϋπολογισμού,"Δεν υπάρχει απάντηση, διότι επιδρούν και άλλοι παράγοντες που επηρεάζουν το πρωτογενές έλλειμμα",1,Οικονομικές Επιστήμες
51,Ποιος από τους πιο κάτω  είναι ο έμμεσος φόρος;,Ένας φόρος που πληρώνεται απευθείας από τα νοικοκυριά και τις επιχειρήσεις στο κράτος,Ένας φόρος που ενσωματώνεται στην τιμή αγαθών και υπηρεσιών,Ένας φόρος που εφαρμόζεται μόνο στα κέρδη των επιχειρήσεων,Ένας φόρος που αφορά μόνο την ιδιοκτησία ακινήτων,1,Οικονομικές Επιστήμες
52,Ποιο από τα παρακάτω παραδείγματα είναι δημόσια δαπάνη;,Η αγορά μετοχών,Η καταβολή μισθών στους/στις δημοσίους υπαλλήλους,Η εξαγωγή προϊόντων από τη χώρα,Η δημιουργία ανταγωνισμού μεταξύ ιδιωτικών επιχειρήσεων,1,Οικονομικές Επιστήμες
53,Ποια από τις παρακάτω δαπάνες θεωρείται «αναπτυξιακή δημόσια δαπάνη»;,Οι δαπάνες για συντάξεις και επιδόματα,"Οι δαπάνες για την κατασκευή υποδομών, όπως δρόμοι και σχολεία",Οι δαπάνες για την αγορά στρατιωτικού εξοπλισμού,Οι δαπάνες για την εξυπηρέτηση του δημόσιου χρέους,1,Οικονομικές Επιστήμες
54,Ποια από τις παρακάτω καταστάσεις περιγράφει τη λεγόμενη «φορολογική παγίδα»;,Όταν η αύξηση των φόρων αυξάνει τα δημόσια έσοδα με σταθερό ρυθμό,Όταν οι υψηλοί φορολογικοί συντελεστές μειώνουν τα κίνητρα για εργασία ή επένδυση,Όταν οι φορολογούμενοι προσπαθούν να αποφύγουν τη φορολογία μεταφέροντας την περιουσία τους στο εξωτερικό,Όταν η φορολογική πολιτική προκαλεί αύξηση των κοινωνικών δαπανών,1,Οικονομικές Επιστήμες
55,Τι περιλαμβάνει το έλλειμμα τρεχουσών συναλλαγών;,Τις εξαγωγές αγαθών και υπηρεσιών,Τις εισαγωγές αγαθών και υπηρεσιών,"Την καθαρή διαφορά εξαγωγών και εισαγωγών αγαθών, υπηρεσιών, εισοδημάτων και μεταβιβάσεων",Τις κρατικές δαπάνες,2,Οικονομικές Επιστήμες
56,Ποιο από τα παρακάτω μπορεί να προκαλέσει αύξηση του δημόσιου χρέους;,Η μείωση των δημοσίων δαπανών,Η αύξηση των φορολογικών εσόδων,Η μείωση των κρατικών εσόδων σε συνδυασμό με αυξημένες δαπάνες,Η μείωση των εισαγωγών,2,Οικονομικές Επιστήμες
57,Ποιος από τους παρακάτω θεωρείται τρόπος μείωσης του δημόσιου χρέους;,Η αύξηση των κρατικών δαπανών,Η αύξηση των φορολογικών εσόδων,Η αύξηση του δανεισμού,Η μείωση των εξαγωγών,1,Οικονομικές Επιστήμες
58,Ποιος είναι ένας συνηθισμένος δείκτης μέτρησης της εισοδηματικής ανισότητας;,Ο δείκτης ανεργίας,Ο συντελεστής Gini,Ο πληθωρισμός,Το Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ),1,Οικονομικές Επιστήμες
59,Τι είναι οι δημοσιονομικοί κανόνες;,Κανονισμοί για τη ρύθμιση της νομισματικής πολιτικής,Κατευθυντήριες γραμμές για τη διαχείριση του δημόσιου χρέους και του ελλείμματος,Νόμοι που ορίζουν τον ανώτατο φόρο εισοδήματος,Κανονισμοί που αφορούν μόνο τις ιδιωτικές επιχειρήσεις,1,Οικονομικές Επιστήμες
60,Ποιο από τα παρακάτω είναι παράδειγμα δημοσιονομικού κανόνα;,Η θέσπιση ανώτατου ορίου για το δημόσιο έλλειμμα ως ποσοστό του ΑΕΠ,Η ελεύθερη διάθεση πόρων για επενδύσεις,Η κατάργηση της φορολόγησης εισοδημάτων,Η αύξηση των στρατιωτικών δαπανών,0,Οικονομικές Επιστήμες
61,Ποιο από τα παρακάτω είναι πιθανό μειονέκτημα των δημοσιονομικών κανόνων;,Η αποφυγή των υπερβολικών δαπανών,Η ενίσχυση της αξιοπιστίας της χώρας στις αγορές,Ο περιορισμός της δημοσιονομικής ευελιξίας σε περιόδους κρίσης,Η μείωση του χρέους,2,Οικονομικές Επιστήμες
62,Ποιο από τα παρακάτω είναι αποτέλεσμα μιας οικονομίας που λειτουργεί κάτω από το δυνητικό προϊόν της;,Υψηλή ανεργία και υπό-χρησιμοποίηση πόρων.,Αύξηση του πληθωρισμού και υπερθέρμανση της οικονομίας,Σταθερότητα στις τιμές και μηδενική ανεργία.,Αύξηση της παραγωγής πέρα από το δυνητικό προϊόν,0,Οικονομικές Επιστήμες
63,Τα δημόσια αγαθά ορίζονται ως:,Τα αγαθά τα οποία ανταγωνίζονται άλλα υποκατάστατα αυτών,Τα αγαθά τα οποία αποκλείουν κάποιον ή κάποια από τη χρήση τους,"Τα αγαθά τα οποία ούτε αποκλείουν κάποιον ή κάποια, ούτε είναι ανταγωνιστικά στη χρήση τους",Τα αγαθά ανελαστικής ζήτησης,2,Οικονομικές Επιστήμες
64,Τι είναι το Ελάχιστο Εγγυημένο Εισόδημα;,Εναλλακτικός όρος για το κατώφλι της φτώχειας,Η Ελάχιστη Εθνική Σύνταξη,Ο ορισμός του κατώτατου μισθού,Προνοιακό πρόγραμμα για την καταπολέμηση της φτώχειας,3,Οικονομικές Επιστήμες
65,Οι «συναλλαγές ανοικτής αγοράς» αφορούν:,Την αγορά και πώληση αγαθών,Τις συνθήκες τέλειου ανταγωνισμού,Την αγορά και πώληση τίτλων από και προς τον τραπεζικό τομέα από την Κεντρική Τράπεζα,Την ελευθερία συναλλαγών ανάμεσα στους καταναλωτές και τις επιχειρήσεις,2,Οικονομικές Επιστήμες
66,"Για τις χώρες Α, Β, Γ και Δ υπολογίστηκε ο συντελεστής Gini για το προσωπικό εισόδημα ως ακολούθως: <table border=""1"" style=""border-collapse: collapse; width: 100%; text-align: center;""><tbody><tr><td>Χώρα Α</td><td>0,38</td></tr><tr><td>Χώρα Β</td><td>0,45</td></tr><tr><td>Χώρα Γ</td><td>0,42</td></tr><tr><td>Χώρα Δ</td><td>0,40</td></tr></tbody></table> Σε ποια από τέσσερις χώρες αντιστοιχεί μεγαλύτερη οικονομική ανισότητα;",Στη χώρα Α,Στη χώρα Β,Στη χώρα Γ,Στη χώρα Δ,1,Οικονομικές Επιστήμες
67,Δύο αγαθά Α και Β είναι μεταξύ τους υποκατάστατα όταν:,"Όταν η τιμή του Α αυξάνεται, η ζήτηση για το αγαθό Β μειώνεται","Όταν η τιμή του Α αυξάνεται, η ζήτηση για το αγαθό Β αυξάνεται","Όταν η τιμή του Α αυξάνεται, η ζήτηση για το αγαθό Β δεν μεταβάλλεται",Καμία από τις λοιπές απαντήσεις,1,Οικονομικές Επιστήμες
68,Διαπιστώστε ποια από τις παρακάτω προτάσεις είναι αληθής:,Η ποσόστωση στις εισαγωγές είναι η αξία των εισαγομένων ως ποσοστό της αξίας των εξαγομένων προϊόντων,Η ποσόστωση στις εισαγωγές σχετίζεται με την ποσότητα ενός αγαθού που μπορεί  να παραχθεί στην εγχώρια αγορά με εισροή εισαγόμενων προϊόντων,Η ποσόστωση στις εισαγωγές είναι ένα όριο στην ποσότητα ενός αγαθού που μπορεί να παραχθεί στο εξωτερικό και να πωληθεί στην εγχώρια αγορά,Καμία από τις λοιπές προτάσεις Ενότητα: Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού,2,Οικονομικές Επιστήμες
1,Η Ανάλυση S.W.O.T. (Strenghts – Weaknesses - Opportunities – Threats) εκπονείται κατά τη διάρκεια:,Του προγραμματισμού,Της οργάνωσης,Του συντονισμού,Του ελέγχου,0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
2,Η ποσοτική έκφραση των σκοπών-στόχων ενός οργανισμού είναι χαρακτηριστικό της λειτουργίας:,Της ηγεσίας,Του προγραμματισμού,Του ελέγχου,Του προϋπολογισμού,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
3,Το οργανόγραμμα αποτελεί βασικό συστατικό στοιχείο:,Της ηγεσίας,Του προγραμματισμού,Της επικοινωνίας,Της οργάνωσης,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
4,Επιτυχημένος/η Προϊστάμενος/η είναι αυτός/ή που:,Παραμένει ψύχραιμος/η υπό συνθήκες πίεσης,Αφιερώνει χρόνο για να μάθουν οι υφιστάμενοί του/της,Προγραμματίζει και αναπληροφορείται,Όλες οι λοιπές απαντήσεις,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
5,"Όταν ένα διοικητικό στέλεχος εξουσιοδοτεί, η ευθύνη για την εκπλήρωση του καθήκοντος:",Μεταβιβάζεται στον/στην υφιστάμενο/η,Μοιράζεται μεταξύ υφισταμένων και Προϊσταμένου/ης,Παραμένει στο στέλεχος (Προϊστάμενο/η),Απαλλάσσει πλήρως τον/την Προϊστάμενο/η,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
